GOBIERNO DEL DISTRITO FEDERAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIRECCIÓN DE SECTORIZACIÓN Y AUTOMATIZACIÓN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUBDIRECCIÓN DE MACROMEDICIÓN Y CONTROL DE REDES,,,,,,,,,,,,,,,,,,,,,15957439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,,,,,,,,,,,,,,,,,,,,,399581189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,392,,,,,,,,,,,,,,,,,,,418886851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOMBRE DEL,No.,X,Y,ID,CVE_ENT,CVE_MUN,NOM_MUN,CODE,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUERTAS DEL CARMEN,72 ,480757,2138752,175,09,003,Coyoac?ín,09003,80111,72576,65808,71995,73795,113320,96870,142143,137407,148490,138330,25043,1165888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRRIGACION,73 ,478175,2149700,177,09,016,Miguel Hidalgo,09016,29374,17941,21092,23095,22394,12286,5116,19542,19844,19156,21384,80304,291528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IZTACALCO,74 ,487547,2143777,183,09,006,Iztacalco,09006,126410,107645,129037,128071,128290,93553,152211,137097,125435,135112,21980,15958,1300798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JARDIN DE SAN JACINTO,75 ,479963,2138791,193,09,010,?ülvaro Obreg??n,09010,98319,83724,109900,117324,114952,103613,114743,110886,115590,107993,104509,50533,1232086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JARDINES DEL PEDREGAL #1,76 ,478216,2137221,197,09,010,?ülvaro Obreg??n,09010,0,61796,29484,43551,21090,7797,13866,26819,26275,73482,42747,35998,382904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JARDINES DEL PEDREGAL #2,77 ,479233,2137630,198,09,010,?ülvaro Obreg??n,09010,79591,67776,53638,51202,37966,15583,15910,29602,41804,37428,44152,71095,545748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JARDINES DEL PEDREGAL #3,78 ,479590,2136089,199,09,003,Coyoac?ín,09003,67166,60778,74028,101943,61228,41622,3568,7036,83623,87704,61068,163404,813168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JARDINES DEL PEDREGAL #4,79 ,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,9364,2526,10542,10264,9107,14370,15926,15926,14494,15765,15396,106065,239745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JARDINES DEL PEDREGAL #4-B,80 ,477965,2135930,200,09,010,?ülvaro Obreg??n,09010,46387,47842,63382,61710,61132,50129,53086,52657,48367,48854,48608,118664,700818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JARDINES DEL PEDREGAL #5,81 ,476896,2135388,201,09,012,Tlalpan,09012,138875,144136,154437,153965,156365,143234,141741,32626,32247,30815,35345,89700,1253484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JARDINES DEL PEDREGAL #5-B,82 ,477155,2135188,203,09,010,?ülvaro Obreg??n,09010,47584,43241,45993,44230,39581,42317,36472,52856,56158,54519,70689,21379,555019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JARDIN MORELOS,83 ,481303,2145227,194,09,016,Miguel Hidalgo,09016,132139,109638,131255,141705,143187,152347,165397,159290,161990,164400,157490,104345,1723183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JARDIN POMBO,84 ,480823,2144109,195,09,014,Benito Ju?írez,09014,85628,91697,107993,115707,117274,102529,116068,112212,101228,94815,103265,178735,1327152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA CAMPANA,85 ,480797,2141915,204,09,014,Benito Ju?írez,09014,124752,93691,121982,120849,117828,54043,133116,133116,129470,135232,128822,134349,1427252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA CIENEGA,86 ,483898,2137741,205,09,003,Coyoac?ín,09003,75767,65473,85602,86894,86694,79227,88060,85055,85925,89426,87159,101372,1016655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA HUERTA,87 ,483034,2142593,206,09,014,Benito Ju?írez,09014,67887,57809,72003,67877,69829,51622,66644,67480,64764,54179,38144,95265,773502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAGO GINEBRA,88 ,479224,2150276,209,09,016,Miguel Hidalgo,09016,0,85717,99047,101982,102157,93512,114711,105266,100310,110219,89722,49789,1052432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEGARIA,89 ,478689,2150496,210,09,016,Miguel Hidalgo,09016,147366,149100,162847,154774,147419,69429,146490,152653,148646,153601,172622,104886,1709832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOS REYES COYOACAN,90 ,483778,2138641,215,09,003,Coyoac?ín,09003,138114,117612,135902,139929,140169,128307,159306,160600,151842,142223,131881,74470,1620354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARINA NACIONAL #1,91 ,481481,2149520,217,09,016,Miguel Hidalgo,09016,110023,113702,127567,118584,118787,82638,87734,94939,95520,101169,98004,40819,1189485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARINA NACIONAL #3,92 ,480760,2150404,218,09,016,Miguel Hidalgo,09016,53394,0,82026,83009,83151,89694,110693,64458,85676,87182,82208,125392,946882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
