GOBIERNO DEL DISTRITO FEDERAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIRECCIÓN DE SECTORIZACIÓN Y AUTOMATIZACIÓN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUBDIRECCIÓN DE MACROMEDICIÓN Y CONTROL DE REDES,,,,,,,,,,,,,,,,,,,,,15957439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,,,,,,,,,,,,,,,,,,,,,399581189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,392,,,,,,,,,,,,,,,,,,,418886851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOMBRE DEL,No.,X,Y,ID,CVE_ENT,CVE_MUN,NOM_MUN,CODE,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUXILIAR XOTEPINGO #9-B,338 ,486837,2136442,75,09,003,Coyoac?ín,09003,0,0,0,0,0,60316,69151,68803,60005,62005,64152,80352,464783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUXILIAR XOTEPINGO #10-B,339 ,486945,2139980,46,09,003,Coyoac?ín,09003,0,0,0,0,0,0,26548,24813,0,0,0,2480,53841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUXILIAR XOTEPINGO #11-B,340 ,487554,2136262,49,09,003,Coyoac?ín,09003,0,0,0,0,0,0,123997,140110,137239,141813,135727,203558,882444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUXILIAR XOTEPINGO #2-C,341 ,486157,2137340,55,09,003,Coyoac?ín,09003,0,REPARACION,REPARACION,,0,43927,46460,43422,50404,52084,35635,64485,336417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUXILIAR XOTEPINGO #3-C,342 ,486332,2137150,58,09,003,Coyoac?ín,09003,0,0,0,0,0,0,0,0,0,0,0,39683,39683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUXILIAR XOTEPINGO #4-C,343 ,486172,2136994,61,09,003,Coyoac?ín,09003,0,0,0,0,0,77760,78102,78665,77604,80191,77682,34723,504728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUXILIAR XOTEPINGO #5-C,344 ,486633,2136909,64,09,003,Coyoac?ín,09003,0,0,0,0,0,2592,2678,2646,2696,2786,2545,26562,42505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUXILIAR XOTEPINGO #6-C,345 ,486880,2136614,67,09,003,Coyoac?ín,09003,0,0,0,0,0,196992,202133,201116,196992,203558,189309,0,1190101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUXILIAR XOTEPINGO #7-C,346 ,488128,2138076,70,09,007,Iztapalapa,09007,0,0,0,0,0,41135,68583,64099,64805,66965,66179,101115,472882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUXILIAR XOTEPINGO #8-C,347 ,492311,2136377,73,09,007,Iztapalapa,09007,REPARACION,0,0,0,0,83670,88494,82709,38403,39683,40726,0,373685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUXILIAR XOTEPINGO #9-C,348 ,493239,2137267,76,09,007,Iztapalapa,09007,0,0,0,0,0,29284,30973,28948,33603,34723,35635,85294,278460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUXILIAR XOTEPINGO #10-C,349 ,487154,2136372,47,09,003,Coyoac?ín,09003,0,0,0,0,0,59497,82203,107128,112809,116569,119631,1811,599648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGRICOLA ORIENTAL #1,350 ,493122,2143239,7,09,007,Iztapalapa,09007,0,0,0,0,0,0,0,0,0,0,0,45993,45993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CD. DEPORTIVA #2,351 ,490524,2145198,102,09,006,Iztacalco,09006,90155,82253,77588,78346,0,98460,103726,91400,96438,103517,98460,195054,1115398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEPORTIVO SAN SEBASTIAN,352 ,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,0,0,0,0,0,0,0,0,0,0,131734,131734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRANJAS ESTRELLA #1,353 ,490215,2136947,168,09,007,Iztapalapa,09007,13419,14631,10566,26482,77516,68258,79814,85382,85194,88122,54432,0,603816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRANJAS ESTRELLA #2,354 ,490395,2136697,169,09,007,Iztapalapa,09007,72445,67128,86968,44152,5496,18419,8073,0,0,0,0,0,302681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRANJAS SAN ANTONIO,355 ,488920,2141217,171,09,007,Iztapalapa,09007,39389,54640,61603,59258,55909,54432,55853,42466,38211,56190,93312,0,611263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IZTAPALAPA #1,356 ,490429,2140629,184,09,007,Iztapalapa,09007,114019,101737,176324,184385,205990,202176,200880,198670,171233,179453,171927,145041,2051836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IZTAPALAPA #2,357 ,489524,2140324,186,09,007,Iztapalapa,09007,167132,154418,181194,189346,152026,167822,172532,171471,170364,176598,129271,38933,1871106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IZTAPALAPA #4,358 ,493536,2140947,187,09,007,Iztapalapa,09007,0,0,0,0,0,0,0,0,0,0,0,138061,138061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IZTAPALAPA #6,359 ,494401,2141125,188,09,007,Iztapalapa,09007,96422,86482,106193,107993,125129,110860,125885,123871,48973,0,0,76843,1008652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IZTAPALAPA #8,360 ,495991,2139156,189,09,007,Iztapalapa,09007,0,0,0,0,0,0,0,0,0,0,0,92560,92560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REYES IZTAPALAPA,361 ,489024,2138895,361,09,007,Iztapalapa,09007,144634,127064,123228,133667,112868,69854,123105,126779,140507,148191,103639,148978,1502512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PANTEON CIVIL #1,362 ,492110,2138566,266,09,007,Iztapalapa,09007,45511,42965,38424,45964,39158,32960,27456,33831,39378,107002,42089,269083,763821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PANTEON CIVIL #2,363 ,492185,2138296,267,09,007,Iztapalapa,09007,173753,164012,164304,121438,163543,121020,142054,136349,73234,107865,105106,104056,1576734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PANTEON CIVIL #3,364 ,491725,2138701,268,09,007,Iztapalapa,09007,157868,141448,203558,187536,175060,195219,98943,7138,96796,96805,96298,172178,1628848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PENON #1,365 ,496929,2143163,282,09,007,Iztapalapa,09007,123619,113361,29312,102210,118835,99043,104358,95043,113905,210185,68221,93915,1272010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PENON #2,366 ,496431,2141160,283,09,007,Iztapalapa,09007,230225,206682,198534,219415,227661,211974,206456,0,163039,259891,169382,82538,2175797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PENON #3,367 ,497573,2142887,285,09,007,Iztapalapa,09007,275768,250842,237328,260672,250977,269568,247913,236213,257437,126688,218350,184552,2816309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PENON #4,368 ,495210,2141993,286,09,007,Iztapalapa,09007,132983,120234,114100,124416,120662,79634,71915,104993,108605,76535,101606,111946,1267630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PENON #5,369 ,485811,2136521,288,09,003,Coyoac?ín,09003,161577,128842,141484,159097,165729,153312,159086,158422,113141,88419,115590,46620,1591319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PENON #6,370 ,497336,2141954,289,09,007,Iztapalapa,09007,122842,99676,137547,138848,95940,89580,96326,88805,88833,199514,88087,0,1245997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PENON #7,371 ,496897,2141745,290,09,007,Iztapalapa,09007,58858,130034,152669,146267,208288,191258,202021,197007,192876,242117,199952,0,1921347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PENON #8,372 ,496437,2142004,291,09,007,Iztapalapa,09007,154854,176602,193455,165784,238380,220325,230658,230160,221772,143051,235753,0,2210795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PENON #9,373 ,496509,2142463,292,09,007,Iztapalapa,09007,85655,94349,103413,84813,152669,144346,149768,141982,147449,42297,111233,117930,1375903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PURISIMA IZTAPALAPA,374 ,492113,2140360,326,09,007,Iztapalapa,09007,92525,84587,93744,84370,48752,48854,50279,50228,40684,42169,51840,47102,735135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PURISIMA IZTAPALAPA #2,375 ,492326,2140858,328,09,007,Iztapalapa,09007,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PURISIMA IZTAPALAPA #7,376 ,492584,2141270,332,09,007,Iztapalapa,09007,54149,62343,63896,7817,64496,0,0,0,0,0,0,0,252701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA MARIA AZTAHUACAN,377 ,497536,2139617,447,09,007,Iztapalapa,09007,0,0,0,0,0,0,0,0,0,0,0,1519,1519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTOR POPULAR #1,378 ,480042,2143331,454,09,014,Benito Ju?írez,09014,166835,16867,184842,20736,184274,190771,197409,142625,152658,154469,160927,43894,1616306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTOR POPULAR #2,379 ,487649,2141016,455,09,007,Iztapalapa,09007,82698,74995,70147,69074,64089,60964,64282,63446,43131,56021,49002,58954,756803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTOR POPULAR #3,380 ,488361,2140458,456,09,007,Iztapalapa,09007,0,0,173432,0,0,0,0,0,0,0,0,26971,200403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TLACOTAL,381 ,490508,2143981,498,09,006,Iztacalco,09006,0,0,0,0,0,0,0,0,0,0,0,136671,136671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNIDAD MODELO #1,382 ,487114,2141384,532,09,007,Iztapalapa,09007,5357,4834,6846,7737,6163,0,REPARACION,0,REPARACION,REPARACION,6019,0,36955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNIDAD MODELO #2,383 ,486789,2140914,533,09,007,Iztapalapa,09007,56246,50752,59653,61897,46068,60782,64089,56311,56003,60398,175271,0,747471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNIDAD MODELO #3,384 ,487174,2140802,534,09,007,Iztapalapa,09007,44732,24182,50204,50238,60103,46799,59940,38933,43338,57414,45368,0,521252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIGA #1,385 ,487435,2140423,559,09,007,Iztapalapa,09007,152669,137894,149990,144862,149690,145152,149990,146691,100279,0,0,0,1277218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIGA #2,386 ,487191,2140016,560,09,003,Coyoac?ín,09003,34798,0,42988,47045,37519,2675,56182,107656,98833,58786,77662,0,564143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGRICOLA ORIENTAL #2,387 ,490893,2142731,8,09,007,Iztapalapa,09007,0,0,77674,75018,0,0,0,0,0,0,0,146841,299532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGRICOLA ORIENTAL #4,388 ,490868,2143163,9,09,007,Iztapalapa,09007,0,0,53568,51736,0,0,0,0,0,0,0,0,105304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGRICOLA ORIENTAL #5,389 ,491237,2143074,10,09,007,Iztapalapa,09007,0,0,200880,194011,0,0,0,0,0,0,0,41740,436631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGRICOLA ORIENTAL #6,390 ,491988,2143150,11,09,007,Iztapalapa,09007,0,0,40176,0,0,0,0,0,0,0,0,88805,128981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGRICOLA ORIENTAL #7,391 ,492701,2143036,12,09,007,Iztapalapa,09007,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA CRUZ MEYEHUALCO #2,392 ,496913,2138347,443,09,007,Iztapalapa,09007,129099,124758,123539,121632,151863,146344,144634,167068,152578,153416,168480,10928,1594338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALFONSO XIII,393 ,479525,2142124,20,09,010,?ülvaro Obreg??n,09010,52872,47949,52979,51529,60556,58841,61603,60987,52804,0,0,72295,572415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV. CENTRAL,394 ,479826,2143897,77,09,010,?ülvaro Obreg??n,09010,69569,62836,57987,64800,70975,85536,88387,87857,45303,48163,46423,65219,793055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARRANCA DEL MUERTO,395 ,477767,2140498,84,09,010,?ülvaro Obreg??n,09010,69012,61390,68176,65168,80052,79212,83823,82538,88646,96037,77262,9977,861292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRISTO REY,396 ,479080,2143917,131,09,010,?ülvaro Obreg??n,09010,115056,40633,43165,22934,REPARACION,REPARACION,REPARACION,0,0,0,0,36448,258236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASTANEDA #5,397 ,479819,2141143,99,09,010,?ülvaro Obreg??n,09010,42187,0,16236,15586,10754,10783,11785,11825,11757,20227,16651,39051,206843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHAPULTEPEC #7,398 ,476811,2147687,112,09,016,Miguel Hidalgo,09016,59951,57023,66960,60653,56380,61819,66960,55154,57828,61049,47335,29462,680573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MERCED GOMEZ #1,399 ,479054,2141245,221,09,010,?ülvaro Obreg??n,09010,63832,55141,59139,56814,40947,44546,66491,68246,62273,66290,63958,14688,662365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MERCED GOMEZ #2,400 ,479362,2140943,222,09,010,?ülvaro Obreg??n,09010,26436,26531,28225,28369,20436,25479,24748,0,0,0,0,51029,231254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLIVAR DE LOS PADRES,401 ,477978,2138211,251,09,010,?ülvaro Obreg??n,09010,18693,18018,25514,28227,93452,95041,99002,98704,34474,37385,36143,23190,607842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POZO CASSO,402 ,479631,2143506,319,09,010,?ülvaro Obreg??n,09010,45533,40592,37112,41431,45487,44064,45533,44759,36703,42597,41306,54623,519739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIO HONDO,403 ,477108,2150026,362,09,016,Miguel Hidalgo,09016,19984,19008,20875,18499,24829,14479,16006,14479,22628,24081,23305,75343,293517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAN JERONIMO #3 (ANZALDO),404 ,476723,2136300,385,09,008,La Magdalena Contreras,09008,38033,21168,34792,28188,32261,21345,26173,27079,17600,15497,14090,25445,301672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAN ANGEL INN,405 ,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,45396,35903,34792,33398,39935,38880,40176,37806,32929,58925,45961,49210,493312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA LUCIA MIXCOAC,406 ,477689,2141301,446,09,010,?ülvaro Obreg??n,09010,31198,31198,33635,33022,26543,25816,26222,26222,22558,24033,23188,0,303635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TACUBAYA #1,407 ,479760,2144819,460,09,010,?ülvaro Obreg??n,09010,125381,82471,92244,85640,92244,90085,93182,91775,82286,86973,77496,5657,1005433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TACUBAYA #2,408 ,478505,2144514,461,09,010,?ülvaro Obreg??n,09010,37827,83020,96637,76091,48597,60383,74995,69371,74883,76975,74792,78370,851940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TACUBAYA #3,409 ,477626,2144350,462,09,010,?ülvaro Obreg??n,09010,21400,105598,115975,111326,74995,54743,64523,50911,49204,45211,38673,458006,1190566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TETELPAN,410 ,475535,2138416,496,09,010,?ülvaro Obreg??n,09010,50432,42701,44070,48559,45032,43447,44986,45214,41420,50075,48115,,504052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOLTECA,411 ,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,0,0,0,47317,47444,0,0,0,0,0,,94761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTOLAPAN,412 ,470953,2140338,502,09,004,Cuajimalpa de Morelos,09004,0,0,0,17791,53367,53914,66960,52965,15676,57661,4044,,322378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VISTA HERMOSA,413 ,472181,2142453,567,09,004,Cuajimalpa de Morelos,09004,68832,80255,88141,77615,68677,63950,65230,60682,64683,51490,60985,,750538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
