GOBIERNO DEL DISTRITO FEDERAL,,,,,,,,,,,,,,,,,,,,,,
SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,,,,,,,,,,,,,,,,,,,,,,
DIRECCIÓN DE SECTORIZACIÓN Y AUTOMATIZACIÓN,,,,,,,,,,,,,,,,,,,,,,
SUBDIRECCIÓN DE MACROMEDICIÓN Y CONTROL DE REDES,,,,,,,,,,,,,,,,,,,,,28715994,
2014,,,,,,,,,,,,,,,,,,,,,418997351,
,,519,,,,,,,,,,,,,,,,,,,458681917,
NOMBRE,No.,X,Y,ID,CVE_ENT,CVE_MUN,NOM_MUN,CODE,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,m3/año,m3/s
PARROQUIA #1,128,483206,2141726,271,09,014,Benito Ju?írez,09014,56246,70157,120528,114048,123206,114048,5357,64282,80352,83030,75168,83030,989452,0.03138 
PARROQUIA #2,129,483206,2141726,272,09,014,Benito Ju?írez,09014,5357,7258,8035,12960,13392,10368,13392,8035,7776,5357,5184,10714,107828,0.00342 
PERIODISTA,130,477073,2150067,312,09,016,Miguel Hidalgo,09016,91066,77414,91066,67392,77674,72576,72317,88387,90720,85709,90720,77674,982715,0.03116 
PIRULERA ,131,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,101779,91930,128563,114048,131242,124416,123206,125885,103680,FE,69984,88387,1203120,0.03815 
PORTALES ,132,484686,2140946,317,09,014,Benito Ju?írez,09014,99101,89510,101779,95904,80352,62208,66960,64282,62208,13392,31104,50890,817690,0.02593 
RADIO MIL,133,484258,2143551,353,09,014,Benito Ju?írez,09014,112493,101606,117850,98496,91066,72576,FS,FS,FS,FS,FS,26784,620871,0.01969 
RIO SAN JOAQUIN,134,477902,2150276,363,09,016,Miguel Hidalgo,09016,109814,108864,123206,114048,117850,114048,120528,123206,119232,123206,93312,96422,1363736,0.04324 
SALESIANO,135,481404,2150143,379,09,016,Miguel Hidalgo,09016,FS,FS,FS,FS,50890,101088,32141,61603,114048,80352,38880,21427,500429,0.01587 
SAN FELIPE POPOTLA,136,481648,2151031,380,09,016,Miguel Hidalgo,09016,69638,70157,80352,75168,66960,69984,74995,141955,139968,104458,95904,74995,1064534,0.03376 
SAN JOAQUIN TACUBA,137,478238,2150738,386,09,016,Miguel Hidalgo,09016,88387,106445,112493,108864,109814,103680,115171,115171,114048,120528,127008,117850,1339459,0.04247 
TACUBA,138,480210,2151387,459,09,016,Miguel Hidalgo,09016,FS,FS,FS,FS,FS,FE,FE,FE,FS,FS,FS,FS,0,0.00000 
TIZAPAN,139,478906,2138404,497,09,010,?ülvaro Obreg??n,09010,182131,166925,195523,184032,101779,59616,85709,131242,106272,83030,103680,104458,1504397,0.04770 
