GOBIERNO DEL DISTRITO FEDERAL,,,,,,,,,,,,,,,,,,,,,,
SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,,,,,,,,,,,,,,,,,,,,,,
DIRECCION DE SECTORIZACIÓN Y AUTOMATIZACIÓN,,,,,,,,,,,,,,,,,,,,,,
SUBDIRECCIÓN DE MACROMEDICIÓN Y CONTROL DE REDES,,,,,,,,,,,,,,,,,,,,,31801164,
2015,,,,,,,,,,,,,,,,,,,,,454408121,
,,519,,,,,,,,,,,,,,,,,,,496149180,
COLONIA DEL CARMEN FRAGATA ,151,483260,2139989,127,09,003,Coyoac?ín,09003,155347,142733,160704,150336,152669,145152,149990,149990,145152,147312,145152,96422,1740959,0.05521 
COPILCO UNIVERSIDAD,152,480690,2137954,128,09,003,Coyoac?ín,09003,58925,55642,61603,59616,64282,59616,61603,61603,59616,61603,59616,64282,728007,0.02308 
COUNTRY CLUB,153,485226,2139758,129,09,003,Coyoac?ín,09003,58925,53222,56246,57024,48211,46656,48211,48211,46656,48211,49248,53568,614389,0.01948 
DEPORTIVO CANTIL,154,483864,2138082,133,09,003,Coyoac?ín,09003,85709,77414,85709,82944,88387,82944,85709,85709,82944,85709,82944,85709,1011831,0.03208 
DEPORTIVO DURANGO ,155,483374,2135359,134,09,003,Coyoac?ín,09003,85709,79834,85709,93312,77674,67392,80352,93744,75168,139277,134784,144634,1157589,0.03671 
DIRECTO #18,156,489804,2135343,140,09,013,Xochimilco,09013,61603,58061,56246,51840,61603,59616,61603,61603,54432,56246,59616,61603,704072,0.02233 
DIRECTO #19,157,481368,2134327,141,09,012,Tlalpan,09012,56246,50803,56246,54432,56246,54432,56246,56246,41472,FE,FE,FE,482369,0.01530 
DIRECTO #20-B ,158,480015,2134312,142,09,003,Coyoac?ín,09003,117850,108864,120528,119232,104458,101088,104458,104458,101088,104458,98496,104458,1289436,0.04089 
DIRECTO #21,159,479873,2134178,143,09,012,Tlalpan,09012,72317,65318,69638,67392,101779,98496,96422,99101,54432,42854,103680,107136,978565,0.03103 
DIRECTO #24,160,482128,2135810,145,09,003,Coyoac?ín,09003,109814,101606,109814,108864,26784,41472,24106,24106,51840,107136,59616,109814,874972,0.02775 
DIRECTO #25,161,483719,2134751,146,09,003,Coyoac?ín,09003,88387,79834,96422,93312,80352,77760,80352,80352,77760,80352,77760,83030,995673,0.03157 
EDUCACION #1,162,485357,2138170,147,09,003,Coyoac?ín,09003,96422,87091,96422,93312,21427,46656,48211,34819,46656,48211,46656,48211,714094,0.02264 
EDUCACION #2 (N) ,163,486192,2137920,148,09,003,Coyoac?ín,09003,50890,50803,56246,54432,80352,62208,61603,80352,77760,80352,77760,80352,813110,0.02578 
HUIPULCO ,164,485681,2132491,176,09,012,Tlalpan,09012,160704,152410,168739,163296,136598,132192,136598,136598,132192,136598,132192,136598,1724715,0.05469 
ISSSTE COAPA #1,165,487057,2133526,179,09,012,Tlalpan,09012,120528,116122,117850,116640,120528,116640,123206,125885,124416,125885,114048,117850,1439598,0.04565 
ISSSTE COAPA #2,166,488733,2133590,180,09,012,Tlalpan,09012,80352,72576,80352,75168,80352,85536,74995,104458,119232,120528,119232,117850,1130631,0.03585 
ISSSTE COAPA #3,167,487084,2134763,181,09,003,Coyoac?ín,09003,120528,108864,104458,101088,88387,82944,85709,85709,85536,85709,82944,88387,1120263,0.03552 
ISSSTE COAPA #4,168,487494,2135343,182,09,003,Coyoac?ín,09003,158026,142733,158026,147744,RH,RH,RH,42854,103680,107136,103680,107136,1071015,0.03396 
LA CIENEGA,169,483898,2137741,205,09,003,Coyoac?ín,09003,152669,140314,155347,155520,136598,132192,136598,136598,132192,136598,132192,139277,1686095,0.05347 
LOS COYOTES ,170,487314,2135852,214,09,003,Coyoac?ín,09003,85709,77414,85709,82944,74995,72576,74995,74995,72576,74995,64800,53568,895276,0.02839 
LOS REYES COYOACAN,171,483778,2138641,215,09,003,Coyoac?ín,09003,136598,130637,141955,139968,117850,114048,117850,123206,108864,117850,114048,120528,1483402,0.04704 
METRO C.U.,172,481622,2136504,223,09,003,Coyoac?ín,09003,FS,9677,FS,5184,85709,80352,64282,93744,67392,32141,23328,26784,488593,0.01549 
MULTIF. COAPA #7 ,173,486679,2133212,233,09,012,Tlalpan,09012,107136,96768,107136,101088,107136,101088,104458,107136,103680,107136,103680,107136,1253578,0.03975 
MULTIF. COAPA #8 ,174,487734,2132727,234,09,013,Xochimilco,09013,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0,0.00000 
NAHUATLACAS ,175,483445,2136059,235,09,003,Coyoac?ín,09003,141955,128218,141955,132192,141955,121824,123206,141955,119232,125885,145152,136598,1600127,0.05074 
PASEOS DE TAXQUENA,176,486893,2138915,273,09,003,Coyoac?ín,09003,96422,87091,96422,93312,99101,95904,96422,99101,95904,99101,95904,99101,1153785,0.03659 
PEDREGAL DE CARRASCO ,177,482587,2134705,276,09,003,Coyoac?ín,09003,123206,111283,128563,127008,117850,116640,120528,125885,137376,141955,139968,141955,1532217,0.04859 
PEDREGAL DE SAN FRANCISCO,178,482687,2138340,277,09,003,Coyoac?ín,09003,88387,82253,91066,85536,91066,88128,91066,91066,88128,91066,88128,91066,1066956,0.03383 
PEDREGAL DE SANTO DOMINGO,179,482109,2136073,278,09,003,Coyoac?ín,09003,104458,94349,83030,77760,107136,103680,107136,85709,88128,93744,93312,88387,1126829,0.03573 
PEDREGAL IMAN,180,481901,2135103,279,09,003,Coyoac?ín,09003,FS,FS,FS,FS,56246,54432,56246,56246,72576,128563,139968,152669,716946,0.02273 
PERIFERICO #1,181,485573,2136312,293,09,003,Coyoac?ín,09003,107136,94349,101779,103680,107136,88128,45533,48211,54432,50890,46656,48211,896141,0.02842 
PERIFERICO #2,182,486493,2134490,304,09,012,Tlalpan,09012,128563,116122,128563,124416,133920,147744,149990,149990,147744,152669,147744,149990,1677455,0.05319 
PERIFERICO #3,183,484822,2133935,305,09,012,Tlalpan,09012,83030,74995,80352,75168,83030,80352,83030,83030,82944,83030,80352,83030,972343,0.03083 
PERIFERICO #4,184,484272,2133665,306,09,012,Tlalpan,09012,128563,120960,133920,129600,136598,132192,133920,133920,132192,133920,132192,133920,1581897,0.05016 
PERIFERICO #10,185,486333,2132216,294,09,013,Xochimilco,09013,141955,125798,139277,134784,141955,137376,136598,139277,137376,141955,134784,141955,1653090,0.05242 
PERIFERICO #11,186,488634,2132855,295,09,013,Xochimilco,09013,117850,106445,48211,FE,FE,FE,FE,FE,FE,FE,FE,FE,272506,0.00864 
PERIFERICO #12,187,488153,2133115,296,09,012,Tlalpan,09012,10714,9677,10714,10368,115171,106272,107136,109814,106272,109814,103680,109814,909446,0.02884 
PERIFERICO #13,188,486343,2136134,297,09,003,Coyoac?ín,09003,123206,111283,120528,119232,125885,121824,85709,88387,85536,88387,82944,69638,1222559,0.03877 
PERIFERICO #14,189,488083,2134134,298,09,003,Coyoac?ín,09003,112493,104026,117850,114048,117850,111456,112493,115171,111456,115171,111456,115171,1358641,0.04308 
PERIFERICO #15,190,485969,2135229,299,09,003,Coyoac?ín,09003,149990,140314,152669,152928,160704,152928,155347,155347,152928,158026,150336,155347,1836864,0.05825 
PERIFERICO #16,191,489444,2134015,300,09,013,Xochimilco,09013,128563,120960,133920,137376,112493,121824,120528,123206,121824,125885,121824,123206,1491609,0.04730 
PERIFERICO #17,192,489484,2134564,301,09,013,Xochimilco,09013,16070,14515,16070,15552,152669,147744,147312,149990,147744,152669,147744,149990,1258069,0.03989 
POZO 20 DE AGOSTO ,193,487195,2138577,318,09,003,Coyoac?ín,09003,131242,123379,45533,FS,112493,134784,128563,144634,158112,166061,121824,123206,1389831,0.04407 
PRADOS CHURUBUSCO ,194,486699,2140007,320,09,003,Coyoac?ín,09003,187488,133056,117850,88128,88387,85536,88387,99101,62208,56246,88128,104458,1198973,0.03802 
PREPARATORIA #5 (N) ,195,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,117850,106445,117850,114048,120528,119232,117850,123206,119232,123206,116640,123206,1419293,0.04501 
REY MOCTEZUMA,196,483541,2137081,360,09,003,Coyoac?ín,09003,32141,29030,32141,31104,32141,41472,45533,117850,137376,155347,147744,141955,943834,0.02993 
ROMERO DE TERREROS,197,482187,2138640,364,09,003,Coyoac?ín,09003,2678,9677,FS,FS,58925,44064,58925,58925,57024,58925,59616,61603,470362,0.01492 
RUIZ CORTINEZ,198,484853,2136072,365,09,003,Coyoac?ín,09003,155347,108864,2678,FS,2678,38880,8035,80352,116640,107136,77760,77674,776044,0.02461 
SAN FRANCISCO CULHUACAN ,199,487793,2137344,382,09,003,Coyoac?ín,09003,72317,67738,74995,72576,61603,72576,61603,45533,54432,61603,59616,34819,739411,0.02345 
SAN NICOLAS TOLENTINO,200,485838,2133075,418,09,012,Tlalpan,09012,53568,62899,66960,67392,58925,82944,149990,163382,158112,136598,90720,139277,1230767,0.03903 
SANTA URSULA,201,483587,2135232,448,09,003,Coyoac?ín,09003,104458,96768,107136,95904,42854,44064,45533,72317,108864,112493,114048,120528,1064967,0.03377 
SANTA URSULA COAPA,202,483956,2134956,449,09,003,Coyoac?ín,09003,222307,200794,216950,207360,208915,82944,64282,64282,59616,64282,59616,61603,1512951,0.04798 
TERRANOVA,203,480277,2137821,495,09,003,Coyoac?ín,09003,64282,58061,66960,64800,53568,51840,53568,53568,51840,53568,54432,56246,682733,0.02165 
VILLA OLIMPICA #1,204,480489,2134541,563,09,003,Coyoac?ín,09003,107136,99187,109814,108864,112493,108864,109814,109814,108864,112493,108864,112493,1308700,0.04150 
VIVEROS DEL RELOJ #1,205,485383,2135593,568,09,003,Coyoac?ín,09003,74995,67738,72317,69984,61603,57024,61603,61603,59616,40176,33696,34819,695174,0.02204 
VIVEROS DEL RELOJ #2,206,485353,2136042,569,09,003,Coyoac?ín,09003,37498,79834,96422,75168,200880,215136,128563,158026,FS,155347,93312,77674,1317860,0.04179 
NORMANDIA,207,485856,2141928,247,09,007,Iztapalapa,09007,21427,19354,21427,20736,21427,20736,21427,21427,20736,21427,20736,21427,252287,0.00800 
ZAPOTECAS,208,483267,2136640,577,09,003,Coyoac?ín,09003,99101,91930,99101,95904,112493,108864,112493,115171,114048,115171,98496,104458,1267230,0.04018 
TULYEHUALCO SUR #1 ,209,489324,2133515,512,09,012,Tlalpan,09012,199584,167413,180218,169249,146592,109615,190584,204080,181942,190078,227841,81011,2048207,0.06495 
TULYEHUALCO SUR #2 ,210,488938,2133322,517,09,012,Tlalpan,09012,FS,56857,100121,45133,69631,83823,137869,170067,102837,95039,120622,167085,1149084,0.03644 
TULYEHUALCO SUR #3 ,211,488153,2133115,519,09,012,Tlalpan,09012,FS,34746,83434,112833,146592,128959,178419,195577,189853,190078,209971,243033,1713495,0.05433 
TULYEHUALCO SUR #4 ,212,487881,2132804,525,09,013,Xochimilco,09013,316008,214794,213592,251993,142928,167647,202749,229590,213584,221757,236776,283538,2694956,0.08546 
TULYEHUALCO SUR #5 ,213,487503,2132636,526,09,013,Xochimilco,09013,24948,110556,180218,184293,186905,119287,186529,191325,245227,31680,8935,FS,1469903,0.04661 
TULYEHUALCO SUR #6 ,214,487208,2132493,527,09,013,Xochimilco,09013,87318,63175,46723,48894,183241,74151,97319,102040,90971,91079,62545,60758,1008214,0.03197 
TULYEHUALCO SUR #7 ,215,486933,2132236,528,09,013,Xochimilco,09013,4158,12635,40048,33850,102615,83823,36495,21258,35597,39600,22337,50632,483048,0.01532 
TULYEHUALCO SUR #8 ,216,486105,2132113,529,09,013,Xochimilco,09013,99792,78968,113471,139160,219889,332069,182474,174318,134479,126719,80415,70885,1752639,0.05558 
TULYEHUALCO SUR #9 ,217,485351,2132095,530,09,012,Tlalpan,09012,158004,113714,100121,82744,106280,96719,133814,148808,106792,114839,138492,162022,1462349,0.04637 
TULYEHUALCO SUR #10 ,218,486333,2132216,513,09,013,Xochimilco,09013,195426,161095,176881,195577,197900,157975,194639,204080,193808,194038,205504,237970,2314893,0.07340 
TULYEHUALCO SUR #11 ,219,484473,2132617,514,09,012,Tlalpan,09012,274428,183207,160194,52655,25654,FE,FE,FS,FS,174238,196569,227843,1294788,0.04106 
TULYEHUALCO SUR #12 ,220,484107,2133070,515,09,012,Tlalpan,09012,FS,148461,233616,218143,131933,219230,231133,255100,205674,225717,53610,FS,1922617,0.06097 
TULYEHUALCO SUR #13 ,221,486343,2136109,516,09,003,Coyoac?ín,09003,133056,110556,113471,131638,142928,132183,97319,93537,87016,150478,169764,192401,1554347,0.04929 
TULYEHUALCO SUR #23 ,222,489609,2135481,518,09,013,Xochimilco,09013,FE,FE,FS,101549,153922,190215,231133,250848,233361,233637,263581,298728,1956974,0.06206 
TULYEHUALCO SUR #33 ,223,489692,2133900,520,09,013,Xochimilco,09013,RH,RH,RE,RE,139263,RE,RE,RE,RE,RE,RE,RE,139263,0.00442 
TULYEHUALCO SUR #34 ,224,489568,2136213,521,09,013,Xochimilco,09013,345114,262175,180218,131638,117274,103167,52715,25510,114703,RH,RH,RH,1332514,0.04225 
TULYEHUALCO SUR #35 ,225,489834,2135709,522,09,013,Xochimilco,09013,212058,189524,163531,146682,47643,99943,36495,FE,138434,31680,RH,RH,1065990,0.03380 
TULYEHUALCO SUR #36 ,226,484773,2132258,523,09,012,Tlalpan,09012,FS,FS,FS,FS,80626,119287,145979,157312,146345,146518,169764,187338,1153169,0.03657 
TULYEHUALCO SUR #38 ,227,489569,2136221,524,09,013,Xochimilco,09013,120582,91603,63410,75222,197900,251470,202749,165815,51418,51479,58077,65821,1395546,0.04425 
XOCHIMILCO #28 ,228,484437,2133089,570,09,012,Tlalpan,09012,157194,145485,125983,128871,136664,139966,138207,139286,101878,145404,161328,178561,1698827,0.05387 
XOCHIMILCO #29 ,229,484599,2133433,571,09,012,Tlalpan,09012,150644,139423,115484,115984,125731,128769,148573,149477,114302,159590,164995,182619,1695591,0.05377 
XOCHIMILCO #30 ,230,484641,2133825,572,09,012,Tlalpan,09012,13099,FS,94487,100519,109331,100776,114021,108711,81999,124126,120996,125804,1093869,0.03469 
ZAPATA #14 ,231,488083,2134134,573,09,003,Coyoac?ín,09003,127720,118206,97112,105674,90198,92378,114021,112108,84484,117033,95330,142037,1296301,0.04111 
ZAPATA #15 ,232,483077,2134102,574,09,012,Tlalpan,09012,RH,RH,RH,RH,RH,RH,20731,40767,29818,42557,43999,12175,190047,0.00603 
ZAPATA #16 ,233,489444,2134015,575,09,013,Xochimilco,09013,130995,160639,146980,144335,158530,142765,141662,166463,79514,124126,128329,137979,1662317,0.05271 
ARENAL,234,485285,2131689,37,09,013,Xochimilco,09013,74995,29030,29462,28512,56246,95904,93744,85709,106272,117850,114048,115171,946943,0.03003 
ARTESANIAS O VILLA OLIMPICA,235,480679,2133319,40,09,012,Tlalpan,09012,48211,70157,61603,20736,80352,80352,88387,91066,85536,83030,80352,80352,870134,0.02759 
BATAM ,236,477520,2137686,85,09,008,La Magdalena Contreras,09008,26784,24192,26784,25920,26784,25920,26784,26784,25920,53568,51840,53568,394848,0.01252 
BELISARIO DOMINGUEZ,237,481265,2133300,86,09,012,Tlalpan,09012,69638,62899,69638,67392,37498,85536,69638,83030,82944,80352,64800,80352,853717,0.02707 
BOSQUE TLALPAN #1,238,479688,2133363,88,09,012,Tlalpan,09012,91066,74995,93744,80352,40176,88128,85709,16070,RH,18749,RH,RH,588989,0.01868 
BOSQUE TLALPAN #2,239,479648,2133076,89,09,012,Tlalpan,09012,8035,4838,21427,28512,18749,18144,34819,42854,25920,21427,5184,10714,240623,0.00763 
CANAL #13,240,478437,2134424,95,09,012,Tlalpan,09012,235699,203213,233021,147744,158026,41472,21427,16070,FS,50890,72576,74995,1255133,0.03980 
CLUB DE GOLF #1 ,241,483400,2131600,122,09,012,Tlalpan,09012,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0,0.00000 
CLUB DE GOLF #2 ,242,483400,2131600,123,09,012,Tlalpan,09012,37498,33869,37498,36288,37498,36288,37498,37498,36288,37498,36288,37498,441507,0.01400 
CLUB DE GOLF #3 ,243,483400,2131600,124,09,012,Tlalpan,09012,16070,14515,16070,15552,16070,15552,16070,16070,15552,16070,15552,16070,189213,0.00600 
CLUB DE GOLF #4 ,244,483400,2131600,125,09,012,Tlalpan,09012,FE,FE,24106,38880,40176,38880,40176,40176,38880,40176,38880,40176,380506,0.01207 
DALIAS,245,481889,2141303,132,09,014,Benito Ju?írez,09014,18749,FS,FS,FS,29462,28512,29462,29462,28512,26784,25920,26784,243647,0.00773 
DEPORTIVO VIVANCO ,246,483427,2139343,137,09,003,Coyoac?ín,09003,83030,70157,72317,75168,74995,77760,83030,80352,77760,80352,75168,77674,927763,0.02942 
DEPORTIVO XOCHITL ,247,481054,2132826,138,09,012,Tlalpan,09012,FS,FS,FS,FS,48211,46656,40176,48211,46656,66960,64800,66960,428630,0.01359 
EL CAMINERO ,248,481103,2138473,150,09,003,Coyoac?ín,09003,133920,123379,131242,124416,125885,108864,112493,112493,111456,104458,111456,45533,1345595,0.04267 
EL TREBOL,249,482401,2131586,151,09,012,Tlalpan,09012,69638,58061,66960,62208,69638,51840,29462,56246,54432,56246,46656,34819,656206,0.02081 
EL ZAPOTE,250,481267,2133874,152,09,012,Tlalpan,09012,2678,41126,18749,33696,45533,77760,48211,FS,FS,61603,62208,64282,455846,0.01445 
FOVISSSTE,251,480685,2132104,156,09,012,Tlalpan,09012,FS,FS,FS,FS,5357,5184,8035,8035,7776,10714,7776,10714,63591,0.00202 
FUENTES BROTANTES #1,252,481550,2132467,159,09,012,Tlalpan,09012,37498,24192,32141,25920,29462,31104,26784,24106,25920,24106,28512,29462,339207,0.01076 
FUENTES BROTANTES #2,253,481296,2132279,160,09,012,Tlalpan,09012,48211,43546,34819,28512,50890,46656,50890,53568,51840,50890,49248,42854,551924,0.01750 
FUENTES DEL PEDREGAL ,254,476178,2134095,161,09,012,Tlalpan,09012,69638,62899,69638,67392,69638,67392,69638,69638,FE,FE,FE,FE,545873,0.01731 
GALEANA TLALPAN,255,482632,2132332,162,09,012,Tlalpan,09012,10714,24192,91066,77760,37498,64800,133920,133920,129600,133920,129600,69638,1036628,0.03287 
HIDALGO TLALPAN,256,480912,2132969,172,09,012,Tlalpan,09012,80352,67738,85709,69984,50890,57024,77674,64282,77760,72317,62208,66960,832898,0.02641 
ISSFAM,257,483120,2131330,178,09,012,Tlalpan,09012,85709,72576,83030,77760,85709,82944,101779,101779,90720,101779,103680,99101,1086566,0.03445 
JARDIN DE LA MONTANA #1,258,479273,2133860,191,09,012,Tlalpan,09012,48211,58061,64282,59616,64282,57024,58925,64282,62208,64282,62208,64282,727663,0.02307 
JARDIN DE LA MONTANA #2,259,478378,2133978,192,09,012,Tlalpan,09012,83030,74995,83030,80352,83030,80352,83030,83030,80352,80352,77760,80352,969665,0.03075 
LIMANTITLA,260,481534,2132038,211,09,012,Tlalpan,09012,FS,29030,16070,10368,2678,57024,64282,8035,2592,26784,38880,45533,301276,0.00955 
#37,261,483038,2133008,1,09,012,Tlalpan,09012,66960,65318,64282,67392,56246,59616,66960,69638,49248,RH,RH,RH,565660,0.01794 
PADIERNA #1,262,476778,2134389,255,09,012,Tlalpan,09012,72317,65318,72317,51840,61603,59616,61603,61603,FE,FE,FE,FE,506217,0.01605 
PADIERNA #2,263,476720,2134847,256,09,012,Tlalpan,09012,50890,45965,26784,7776,16070,36288,2678,91066,103680,24106,23328,58925,487556,0.01546 
PADIERNA #3,264,477226,2134706,257,09,012,Tlalpan,09012,58925,53222,64282,62208,69638,67392,61603,37498,25920,37498,62208,64282,664676,0.02108 
PADIERNA #4,265,476884,2135388,258,09,008,La Magdalena Contreras,09008,56246,50803,53568,51840,50890,59616,61603,61603,54432,45533,57024,56246,659404,0.02091 
PADIERNA #5,266,477814,2133790,259,09,012,Tlalpan,09012,152669,89510,141955,139968,144634,129600,128563,128563,127008,131242,127008,128563,1569283,0.04976 
PADIERNA PICACHO,267,476943,2133837,260,09,012,Tlalpan,09012,10714,9677,10714,10368,10714,10368,10714,10714,10368,10714,10368,10714,126147,0.00400 
PEDREGAL #2,268,478376,2140393,274,09,010,?ülvaro Obreg??n,09010,29462,26611,26784,25920,26784,23328,26784,26784,25920,26784,25920,26784,317865,0.01008 
PEDREGAL AGUILAS,269,482211,2130826,275,09,012,Tlalpan,09012,37498,19354,13392,18144,24106,15552,16070,16070,15552,37498,57024,53568,323828,0.01027 
PENA POBRE,270,479896,2133084,280,09,012,Tlalpan,09012,29462,26611,29462,28512,112493,127008,133920,21427,FS,107136,106272,112493,834796,0.02647 
PERIFERICO #5,271,483200,2133848,307,09,012,Tlalpan,09012,99101,89510,99101,95904,53568,69984,104458,29462,38880,10714,20736,18749,730167,0.02315 
PERIFERICO #6,272,484192,2132586,308,09,012,Tlalpan,09012,128563,116122,125885,93312,117850,116640,85709,85709,82944,56246,33696,FE,1042676,0.03306 
PERIFERICO #7,273,483602,2132446,309,09,012,Tlalpan,09012,42854,38707,42854,41472,26784,25920,77674,64282,62208,42854,51840,53568,571017,0.01811 
R-1,274,483430,2130663,333,09,012,Tlalpan,09012,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,61603,61603,0.00195 
R-2,275,483177,2130602,338,09,012,Tlalpan,09012,64282,58061,66960,62208,66960,62208,64282,64282,54432,53568,57024,58925,733192,0.02325 
R-3,276,483552,2130452,346,09,012,Tlalpan,09012,64282,53222,64282,54432,74995,67392,69638,69638,67392,69638,64800,66960,786671,0.02495 
R-4,277,483815,2130811,347,09,012,Tlalpan,09012,77674,77414,88387,90720,96422,93312,91066,91066,85536,91066,95904,99101,1077668,0.03417 
R-5,278,484339,2131154,348,09,012,Tlalpan,09012,69638,62899,69638,64800,69638,67392,69638,69638,246240,107136,62208,64282,1023147,0.03244 
R-6,279,485210,2132061,349,09,013,Xochimilco,09013,FS,FS,FS,FS,40176,101088,104458,101779,88128,42854,44064,48211,570758,0.01810 
R-7,280,484935,2131404,350,09,012,Tlalpan,09012,24106,38707,13392,23328,16070,103680,69638,53568,64800,53568,54432,61603,576892,0.01829 
R-8,281,484693,2131234,351,09,012,Tlalpan,09012,FE,FE,FE,FE,FE,FE,FE,RH,RH,RH,RH,RH,0,0.00000 
R-9,282,484129,2130853,352,09,012,Tlalpan,09012,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0,0.00000 
R-10,283,483792,2130536,334,09,012,Tlalpan,09012,5357,4838,5357,5184,34819,44064,45533,45533,44064,45533,41472,18749,340503,0.01080 
REINO AVENTURA ,284,477889,2133563,358,09,012,Tlalpan,09012,64282,58061,64282,62208,64282,62208,64282,64282,62208,64282,62208,64282,756867,0.02400 
SAN FERNANDO TLALPAN ,285,481638,2133393,381,09,012,Tlalpan,09012,5357,FS,5357,121824,259805,230688,120528,117850,116640,120528,114048,117850,1330475,0.04219 
SAN JERONIMO #3 (ANZALDO) ,286,476723,2136300,385,09,008,La Magdalena Contreras,09008,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0,0.00000 
SAN PEDRO MARTIR #1,287,483072,2129627,420,09,012,Tlalpan,09012,85709,77414,85709,77760,80352,77760,88387,80352,80352,88387,80352,80352,982886,0.03117 
SAN RAMON,288,477947,2137711,423,09,008,La Magdalena Contreras,09008,34819,45965,29462,12960,26784,25920,26784,26784,25920,29462,25920,16070,326850,0.01036 
SANTA CATARINA COYOACAN ,289,480791,2133270,439,09,012,Tlalpan,09012,56246,12096,FS,FS,74995,51840,45533,53568,54432,93744,101088,109814,653356,0.02072 
SUR #27 BIS ,290,483401,2133291,458,09,012,Tlalpan,09012,FS,FS,FS,FS,53568,51840,80352,61603,59616,101779,98496,101779,609033,0.01931 
TLALCOLIGIA ,291,481921,2130816,499,09,012,Tlalpan,09012,58925,36288,16070,12960,34819,51840,58925,58925,51840,109814,101088,48211,639705,0.02028 
TOPILEJO ,292,486705,2123955,500,09,013,Xochimilco,09013,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0,0.00000 
TORIELLO ,293,483222,2133095,501,09,012,Tlalpan,09012,74995,67738,74995,72576,74995,72576,74995,74995,72576,74995,72576,74995,883007,0.02800 
VIADUCTO TLALPAN #1,294,483438,2132139,557,09,012,Tlalpan,09012,45533,82253,99101,95904,101779,101088,104458,91066,93312,104458,98496,69638,1087086,0.03447 
VIADUCTO TLALPAN #2,295,483032,2131706,558,09,012,Tlalpan,09012,214272,99187,80352,54432,64282,62208,64282,64282,64800,64282,62208,48211,942798,0.02990 
VILLA OLIMPICA #2,296,480443,2134197,564,09,012,Tlalpan,09012,48211,43546,48211,46656,74995,41472,34819,21427,75168,74995,72576,77674,659750,0.02092 
VILLA OLIMPICA #3,297,479950,2133465,565,09,012,Tlalpan,09012,83030,74995,83030,80352,34819,90720,93744,85709,90720,45533,41472,72317,876441,0.02779 
SAN LUCAS XOCHIMANCA,298,487902,2127087,393,09,013,Xochimilco,09013,139277,125798,139277,129600,128563,114048,133920,133920,127008,131242,127008,131242,1560903,0.04950 
MIRADOR #1,299,494077,2127688,225,09,013,Xochimilco,09013,10714,FS,32141,160704,144634,173664,171418,176774,59616,179453,165888,125885,1400891,0.04442 
MIRADOR #2,300,494205,2127862,226,09,013,Xochimilco,09013,DC,DC,DC,DC,DC,DC,DC,DC,DC,DC,DC,DC,0,0.00000 
MIRADOR #3,301,494228,2127235,227,09,013,Xochimilco,09013,104458,96768,29462,FS,74995,64800,115171,155347,147744,104458,10368,FS,903571,0.02865 
MONTE SUR #1 ,302,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,64282,58061,58925,57024,64282,62208,64282,64282,62208,64282,64800,66960,751596,0.02383 
MONTE SUR #2 ,303,487741,2125198,232,09,013,Xochimilco,09013,58925,53222,61603,59616,58925,51840,61603,61603,59616,61603,59616,61603,709775,0.02251 
NATIVITAS #1 ,304,489958,2127340,237,09,013,Xochimilco,09013,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0,0.00000 
NATIVITAS #2 ,305,490330,2126433,238,09,013,Xochimilco,09013,61603,48384,61603,46656,83030,88128,147312,147312,137376,147312,147744,77674,1194134,0.03787 
NATIVITAS #3 ,306,490458,2126770,239,09,013,Xochimilco,09013,182131,164506,184810,160704,117850,28512,125885,125885,116640,107136,46656,48211,1408926,0.04468 
NORIA #1,307,486562,2130782,240,09,013,Xochimilco,09013,141955,130637,144634,137376,144634,134784,125885,123206,119232,123206,111456,109814,1546819,0.04905 
NORIA #2,308,487133,2129237,241,09,013,Xochimilco,09013,104458,96768,109814,106272,104458,106272,107136,107136,106272,115171,116640,117850,1298247,0.04117 
NORIA #3,309,487635,2129008,242,09,013,Xochimilco,09013,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0,0.00000 
NORIA #4,310,487975,2128974,243,09,013,Xochimilco,09013,48211,45965,48211,12960,77674,204768,219629,155347,176256,198202,199584,195523,1582330,0.05018 
NORIA #5,311,487231,2128266,244,09,013,Xochimilco,09013,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0,0.00000 
NORIA #6,312,488178,2127972,245,09,013,Xochimilco,09013,147312,133056,144634,127008,147312,134784,144634,139277,139968,141955,129600,141955,1671495,0.05300 
NORIA #7,313,489421,2127836,246,09,013,Xochimilco,09013,FS,FS,24106,116640,120528,116640,120528,120528,116640,120528,116640,120528,1093306,0.03467 
SAN LUIS TLAXIALTEMALCO,314,496162,2128409,414,09,013,Xochimilco,09013,133920,120960,133920,124416,133920,129600,101779,101779,98496,101779,98496,101779,1380844,0.04379 
