GOBIERNO DEL DISTRITO FEDERAL,,,,,,,,,,,,,,,,,,,,,,
SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,,,,,,,,,,,,,,,,,,,,,,
DIRECCION DE SECTORIZACIÓN Y AUTOMATIZACIÓN,,,,,,,,,,,,,,,,,,,,,,
SUBDIRECCIÓN DE MACROMEDICIÓN Y CONTROL DE REDES,,,,,,,,,,,,,,,,,,,,,32769059,
2016,,,,,,,,,,,,,,,,,,,,,431098377,
,,519,,,,,,,,,,,,,,,,,,,473667273,
NOMBRE,No.,X,Y,ID,CVE_ENT,CVE_MUN,NOM_MUN,CODE,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,m3/año,m3/s
TEPEXPAN SUR TS-2 ,50,500223,2167968,493,15,033,Ecatepec de Morelos,15033,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0,0.00000 
TEPEXPAN SUR TS-3 ,51,499945,2167870,494,15,033,Ecatepec de Morelos,15033,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0,0.00000 
VENTA DE CARPIO VC-1 ,52,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,115689,109840,101779,117053,116719,114485,40270,RH,RH,84229,115008,133474,1048546,0.03325 
VENTA DE CHARCO VCH-1,53,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,109756,104207,96422,105348,104748,103036,105321,109558,103305,102947,102575,102433,1249656,0.03963 
VENTA DE CHARCO VCH-2,54,500079,2168895,538,15,033,Ecatepec de Morelos,15033,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0,0.00000 
VENTA DE CHARCO VCH-3,55,500346,2168435,539,15,033,Ecatepec de Morelos,15033,195781,188700,158026,172653,176575,171727,173470,182596,177094,174697,167850,173826,2112995,0.06700 
VENTA DE CHARCO VCH-4,56,500586,2168002,540,15,033,Ecatepec de Morelos,15033,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0,0.00000 
VENTA OJO DE AGUA VO- 1 ,57,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,157218,149270,131242,155095,143654,143106,139396,146077,138723,102947,102575,102433,1611736,0.05111 
VENTA OJO DE AGUA VO- 2 ,58,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,192815,146454,77674,175579,179568,174589,176568,182596,174142,168458,167850,164514,1980807,0.06281 
VENTA OJO DE AGUA VO- 3 ,59,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,136453,129555,96422,70232,116719,114485,114614,121731,118062,109186,108792,108641,1344892,0.04265 
VENTA OJO DE AGUA VO- 4 ,60,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0,0.00000 
VENTA OJO DE AGUA VO- 5 ,61,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,118655,112657,107136,93642,113726,111623,111517,118687,112159,115425,115008,114849,1345084,0.04265 
VENTA OJO DE AGUA VO- 6 ,62,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,151285,143637,131242,134611,113726,143106,142493,146077,141675,106066,102575,105537,1562030,0.04953 
VENTA OJO DE AGUA VO- 7 ,63,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,166117,157719,133920,166801,155625,154554,151786,155207,153481,140382,139875,136578,1812045,0.05746 
VENTA OJO DE AGUA VO- 8 ,64,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,109756,104207,101779,108274,101755,100174,105321,109558,106256,65512,9325,117953,1139870,0.03615 
VENTA OJO DE AGUA VO- 9 ,65,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,154252,146454,131242,152169,143654,125933,161079,167380,165287,199654,121225,180034,1848363,0.05861 
VENTA OJO DE AGUA VO-10 ,66,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,142386,135188,123206,137537,131683,128795,130103,136947,132820,121664,136767,136578,1593674,0.05054 
VENTA OJO DE AGUA VO-11 ,67,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,136453,129555,117850,125832,131683,131658,133200,139990,135772,137262,136767,136578,1592600,0.05050 
VENTA OJO DE AGUA VO-12 ,68,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,166117,157719,144634,140464,173582,145968,179666,185639,182997,177817,180283,176930,2011816,0.06379 
VENTA OJO DE AGUA VO-13 ,69,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,175016,166169,141955,160948,158618,157417,157982,143033,171191,171578,170958,170722,1945587,0.06169 
VENTA OJO DE AGUA VO-14 ,70,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,172050,146454,131242,137537,137669,137382,139396,143033,141675,180937,177175,176930,1821480,0.05776 
ABASOLO JARDIN ,71,484606,2150489,2,09,015,Cuauht??moc,09015,DC,DC,DC,DC,DC,DC,DC,DC,DC,DC,DC,DC,0,0.00000 
ACACIAS,72,481862,2140960,4,09,014,Benito Ju?írez,09014,69638,57629,69638,69984,72317,69984,72317,72317,69984,66960,44064,FS,734832,0.02330 
ALAMEDA DE SANTA MARIA,73,483553,2150442,15,09,015,Cuauht??moc,09015,174096,192931,216950,220320,123206,72576,77674,74995,95904,77674,44064,112493,1482883,0.04702 
ALAMEDA DE TACUBAYA,74,480571,2145040,16,09,016,Miguel Hidalgo,09016,166061,170381,182131,119232,FS,FS,144634,144634,FS,FS,FS,FS,927073,0.02940 
ALAMOS JARDIN #1,75,485190,2144841,17,09,014,Benito Ju?írez,09014,101779,97718,26784,85536,101779,103680,112493,5357,23328,FS,FS,FS,658454,0.02088 
ALAMOS JARDIN #2,76,485124,2145120,18,09,014,Benito Ju?írez,09014,160704,137808,163382,155520,160704,150336,155347,158026,147744,149990,152928,128563,1821052,0.05775 
