TULYEHUALCO SUR #3 ,171,488153,2133115,519,09,012,Tlalpan,09012,117766,118203,127189,125144,98182,59356,50165,50742,52665,49650,57774,63338,970175
TULYEHUALCO SUR #4 ,172,487881,2132804,525,09,013,Xochimilco,09013,172340,172980,183029,180085,232284,234725,225745,196049,203480,207627,220593,247594,2476531
TULYEHUALCO SUR #5 ,173,487503,2132636,526,09,013,Xochimilco,09013,60319,72075,186131,183137,143681,75544,61567,62274,64635,54164,RH,FS,963526
TULYEHUALCO SUR #6 ,174,487208,2132493,527,09,013,Xochimilco,09013,77553,63426,77555,76307,189180,232027,180140,179904,191510,189572,191705,172740,1821620
TULYEHUALCO SUR #7 ,175,486933,2132236,528,09,013,Xochimilco,09013,126383,126852,145802,143458,100577,134900,123133,117630,110118,103813,123427,135313,1491406
TULYEHUALCO SUR #8 ,176,486105,2132113,529,09,013,Xochimilco,09013,71809,72075,77555,76307,112550,97128,52446,55355,71816,72218,94540,95007,948805
TULYEHUALCO SUR #9 ,177,485351,2132095,530,09,012,Tlalpan,09012,103404,103788,105474,103778,138891,137598,116293,110710,107725,101557,141809,92128,1363155
TULYEHUALCO SUR #10 ,178,486333,2132216,513,09,013,Xochimilco,09013,109149,109554,114781,112935,86208,75544,95770,96871,88574,83502,102418,112281,1187587
TULYEHUALCO SUR #11 ,179,484473,2132617,514,09,012,Tlalpan,09012,120638,121086,120985,119039,98182,116014,88930,89952,90967,85759,99792,109402,1260746
TULYEHUALCO SUR #12 ,180,484107,2133070,515,09,012,Tlalpan,09012,86170,86490,93065,91569,71840,83638,68407,69194,67029,63191,76157,83491,940241
TULYEHUALCO SUR #13 ,181,486343,2136109,516,09,003,Coyoac?ín,09003,28723,28830,34124,33575,26341,26980,20522,20758,21545,20311,23635,25911,311257
TULYEHUALCO SUR #23 ,182,489609,2135481,518,09,013,Xochimilco,09013,51702,51894,49635,48837,117339,161880,134535,133775,131663,137666,165444,135313,1319683
TULYEHUALCO SUR #33 ,183,489692,2133900,520,09,013,Xochimilco,09013,94787,95139,102372,73255,88603,113316,98051,101484,90967,101557,105044,92128,1156703
TULYEHUALCO SUR #34 ,184,489568,2136213,521,09,013,Xochimilco,09013,83298,83607,96168,94621,71840,78242,66127,66887,69422,65448,78783,86370,940814
TULYEHUALCO SUR #35 ,185,489834,2135709,522,09,013,Xochimilco,09013,71809,72075,83759,82412,86208,121410,107172,103791,112512,112841,102418,100765,1157171
TULYEHUALCO SUR #36 ,186,484773,2132258,523,09,012,Tlalpan,09012,120638,121086,142700,140405,155654,78242,150496,152227,157996,130895,RH,FS,1350340
TULYEHUALCO SUR #38 ,187,489569,2136221,524,09,013,Xochimilco,09013,83298,83607,89963,88516,69446,75544,61567,62274,67029,63191,76157,83491,904083
XOCHIMILCO #28 ,188,484437,2133089,570,09,012,Tlalpan,09012,84415,88097,94941,103114,111592,105229,106628,97972,96773,86433,87496,91654,1154344
XOCHIMILCO #29 ,189,484599,2133433,571,09,012,Tlalpan,09012,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0
XOCHIMILCO #30 ,190,484641,2133825,572,09,012,Tlalpan,09012,118807,117462,126587,137486,155553,157843,142170,145473,145159,145856,155235,150785,1698418
ZAPATA #14 ,191,488083,2134134,573,09,003,Coyoac?ín,09003,93795,97885,105490,114571,142027,129989,135708,124691,130038,116145,121366,127133,1438838
ZAPATA #15 ,192,483077,2134102,574,09,012,Tlalpan,09012,37518,39154,42196,45829,40579,37140,38774,35626,36290,32413,33870,35479,454866
ZAPATA #16 ,193,489444,2134015,575,09,013,Xochimilco,09013,115680,120725,130104,141305,125119,108324,113090,103909,105845,94537,98786,103480,1360904
ARENAL,194,485285,2131689,37,09,013,Xochimilco,09013,120528,87091,124416,109814,94349,116122,69638,94003,128218,120528,138240,137894,1340842
ARTESANIAS O VILLA OLIMPICA,195,480679,2133319,40,09,012,Tlalpan,09012,74995,58061,71885,69638,55642,80179,66960,77414,79834,PA,PA,PA,634608
BATAM ,196,477520,2137686,85,09,008,La Magdalena Contreras,09008,5357,4838,5530,5357,4838,5530,5357,5530,4838,5357,5530,4838,62899
BELISARIO DOMINGUEZ,197,481265,2133300,86,09,012,Tlalpan,09012,69638,62899,71885,69638,62899,77414,74995,24883,FE,FE,FE,53222,567475
BOSQUE TLALPAN #1,198,479688,2133363,88,09,012,Tlalpan,09012,16070,48384,47002,56246,48384,71885,69638,66355,72576,74995,77414,67738,716688
BOSQUE TLALPAN #2,199,479648,2133076,89,09,012,Tlalpan,09012,42854,36288,33178,37498,31450,35942,48211,13824,RH,RH,RH,RH,279245
CANAL #13,200,478437,2134424,95,09,012,Tlalpan,09012,77674,74995,69120,91066,82253,94003,96422,96768,84672,88387,91238,82253,1028851
CLUB DE GOLF #1,201,483400,2131600,122,09,012,Tlalpan,09012,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0
CLUB DE GOLF #2 ,202,483400,2131600,123,09,012,Tlalpan,09012,PA,PA,5530,37498,33869,38707,37498,38707,33869,37498,38707,33869,335750
CLUB DE GOLF #3 ,203,483400,2131600,124,09,012,Tlalpan,09012,24106,21773,24883,24106,21773,24883,24106,24883,21773,24106,24883,21773,283046
CLUB DE GOLF #4 ,204,483400,2131600,125,09,012,Tlalpan,09012,18749,16934,19354,18749,16934,19354,18749,19354,16934,18749,19354,16934,220147
DALIAS,205,481889,2141303,132,09,014,Benito Ju?írez,09014,58925,53222,60826,58925,53222,60826,58925,60826,53222,58925,60826,53222,691891
DEPORTIVO VIVANCO ,206,483427,2139343,137,09,003,Coyoac?ín,09003,48211,43546,49766,48211,43546,49766,48211,49766,43546,48211,49766,43546,566093
NORMANDIA,207,485856,2141928,247,09,007,Iztapalapa,09007,53568,29030,49766,37498,41126,47002,48211,52531,43546,45533,33178,38707,519696
EL CAMINERO ,208,481103,2138473,150,09,003,Coyoac?ín,09003,18749,16934,19354,18749,16934,19354,18749,19354,16934,18749,19354,16934,220147
EL TREBOL,209,482401,2131586,151,09,012,Tlalpan,09012,58925,50803,60826,56246,55642,74650,80352,91238,84672,91066,91238,79834,875491
EL ZAPOTE,210,481267,2133874,152,09,012,Tlalpan,09012,120528,111283,132710,120528,111283,124416,123206,124416,106445,112493,110592,96768,1394669
FOVISSSTE,211,480685,2132104,156,09,012,Tlalpan,09012,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0
FUENTES BROTANTES #1,212,481550,2132467,159,09,012,Tlalpan,09012,10714,9677,11059,10714,9677,11059,10714,11059,4838,10714,2765,4838,107827
FUENTES BROTANTES #2,213,481296,2132279,160,09,012,Tlalpan,09012,40176,31450,47002,45533,43546,44237,45533,41472,7258,PA,PA,PA,346205
FUENTES DEL PEDREGAL ,214,476178,2134095,161,09,012,Tlalpan,09012,RH,RH,RH,RH,RH,RH,RH,RH,RH,RH,RH,RH,0
GALEANA TLALPAN,215,482632,2132332,162,09,012,Tlalpan,09012,10714,9677,13824,10714,12096,8294,8035,11059,12096,13392,11059,12096,133056
HIDALGO TLALPAN,216,480912,2132969,172,09,012,Tlalpan,09012,58925,58061,69120,64282,60480,77414,74995,77414,67738,72317,74650,67738,823133
ISSFAM,217,483120,2131330,178,09,012,Tlalpan,09012,80352,67738,88474,77674,65318,82944,93744,99533,101606,107136,113357,101606,1079482
JARDIN DE LA MONTANA #1,218,479273,2133860,191,09,012,Tlalpan,09012,RH,RH,RH,RH,RH,RH,RH,RH,RH,RE,RE,RE,0
JARDIN DE LA MONTANA #2,219,478378,2133978,192,09,012,Tlalpan,09012,21427,19354,22118,21427,19354,22118,21427,22118,19354,21427,22118,19354,251597
LIMANTITLA,220,481534,2132038,211,09,012,Tlalpan,09012,93744,62899,105062,88387,99187,102298,88387,99533,101606,104458,102298,91930,1139789
#37,221,483038,2133008,1,09,012,Tlalpan,09012,85709,65318,77414,74995,87091,71885,96422,82944,87091,91066,88474,79834,988243
PADIERNA #1,222,476778,2134389,255,09,012,Tlalpan,09012,RH,RH,RH,RH,RH,RH,RH,RH,RH,RH,RH,RH,0
PADIERNA #2,223,476720,2134847,256,09,012,Tlalpan,09012,101779,91930,105062,101779,91930,105062,101779,105062,91930,101779,105062,91930,1195085
PADIERNA #3,224,477226,2134706,257,09,012,Tlalpan,09012,74995,67738,74650,72317,65318,74650,69638,71885,65318,72317,74650,65318,848794
PADIERNA #4,225,476884,2135388,258,09,008,La Magdalena Contreras,09008,50890,31450,38707,42854,58061,66355,61603,63590,21773,34819,49766,60480,580349
PADIERNA #5,226,477814,2133790,259,09,012,Tlalpan,09012,115171,108864,102298,99101,91930,102298,96422,105062,96768,99101,105062,91930,1214006
PADIERNA PICACHO,227,476943,2133837,260,09,012,Tlalpan,09012,10714,9677,11059,10714,9677,11059,10714,11059,9677,10714,11059,9677,125798
PEDREGAL #2,228,478376,2140393,274,09,010,?ülvaro Obreg??n,09010,10714,12096,16589,24106,24192,44237,24106,27648,29030,29462,30413,26611,299203
PEDREGAL AGUILAS,229,482211,2130826,275,09,012,Tlalpan,09012,74995,60480,74650,72317,62899,71885,66960,71885,62899,64282,63590,50803,797645
PENA POBRE,230,479896,2133084,280,09,012,Tlalpan,09012,34819,31450,35942,34819,31450,35942,34819,35942,31450,34819,35942,31450,408845
PERIFERICO #5,231,483200,2133848,307,09,012,Tlalpan,09012,72317,65318,74650,72317,65318,74650,72317,74650,65318,72317,74650,65318,849139
PERIFERICO #6,232,484192,2132586,308,09,012,Tlalpan,09012,56246,53222,58061,48211,53222,58061,61603,60826,53222,56246,55296,48384,662602
PERIFERICO #7,233,483602,2132446,309,09,012,Tlalpan,09012,45533,36288,71885,56246,62899,52531,66960,71885,62899,64282,63590,58061,713059
R-1,234,483430,2130663,333,09,012,Tlalpan,09012,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0
R-2,235,483177,2130602,338,09,012,Tlalpan,09012,61603,43546,58061,58925,58061,63590,66960,71885,60480,64282,63590,55642,726624
R-3,236,483552,2130452,346,09,012,Tlalpan,09012,88387,74995,82944,88387,84672,96768,91066,99533,74995,91066,94003,82253,1049069
R-4,237,483815,2130811,347,09,012,Tlalpan,09012,80352,55642,74650,85709,84672,88474,101779,118886,104026,107136,107827,48384,1057536
R-5,238,484339,2131154,348,09,012,Tlalpan,09012,40176,58061,63590,64282,60480,71885,69638,77414,65318,69638,71885,65318,777686
R-6,239,485210,2132061,349,09,013,Xochimilco,09013,34819,24192,35942,32141,31450,38707,37498,41472,36288,37498,35942,31450,417398
R-7,240,484935,2131404,350,09,012,Tlalpan,09012,88387,55642,80179,85709,84672,85709,99101,107827,94349,99101,96768,87091,1064534
R-8,241,484693,2131234,351,09,012,Tlalpan,09012,37498,24192,44237,42854,41126,47002,45533,22118,38707,40176,41472,36288,461203
R-9,242,484129,2130853,352,09,012,Tlalpan,09012,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0
R-10,243,483792,2130536,334,09,012,Tlalpan,09012,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0
REINO AVENTURA ,244,477889,2133563,358,09,012,Tlalpan,09012,64282,58061,66355,64282,58061,66355,64282,66355,58061,64282,66355,58061,754790
SAN FERNANDO TLALPAN ,245,481638,2133393,381,09,012,Tlalpan,09012,166061,133056,157594,147312,133056,105062,104458,116122,101606,104458,107827,74995,1451606
SAN JERONIMO #3 (ANZALDO) ,246,476723,2136300,385,09,008,La Magdalena Contreras,09008,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0
SAN PEDRO MARTIR #1,247,483072,2129627,420,09,012,Tlalpan,09012,88387,74995,88474,85709,79834,96768,91066,102298,87091,91066,96768,87091,1069546
SAN RAMON,248,477947,2137711,423,09,008,La Magdalena Contreras,09008,53568,48384,55296,53568,48384,44237,42854,44237,38707,42854,44237,38707,555034
SANTA CATARINA COYOACAN ,249,480791,2133270,439,09,012,Tlalpan,09012,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0
SUR #27 BIS ,250,483401,2133291,458,09,012,Tlalpan,09012,53568,48384,55296,53568,48384,55296,53568,55296,48384,53568,55296,48384,628992
TLALCOLIGIA ,251,481921,2130816,499,09,012,Tlalpan,09012,40176,29030,30413,34819,33869,38707,32141,11059,RH,RH,RH,RH,250214
TOPILEJO ,252,486705,2123955,500,09,013,Xochimilco,09013,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0
TORIELLO ,253,483222,2133095,501,09,012,Tlalpan,09012,72317,26611,8294,74995,67738,77414,74995,77414,67738,74995,77414,67738,767664
VIADUCTO TLALPAN #1,254,483438,2132139,557,09,012,Tlalpan,09012,64282,55642,124416,120528,70157,80179,109814,113357,101606,112493,113357,60480,1126310
VIADUCTO TLALPAN #2,255,483032,2131706,558,09,012,Tlalpan,09012,56246,48384,55296,50890,50803,58061,88387,91238,79834,83030,91238,82253,835661
VILLA OLIMPICA #2,256,480443,2134197,564,09,012,Tlalpan,09012,37498,33869,38707,37498,33869,44237,42854,44237,31450,42854,44237,38707,470016
VILLA OLIMPICA #3,257,479950,2133465,565,09,012,Tlalpan,09012,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0
SAN LUCAS XOCHIMANCA,258,487902,2127087,393,09,013,Xochimilco,09013,112493,116122,146534,136598,128218,152064,147312,152064,133056,149990,143770,128218,1646438
MIRADOR #1,259,494077,2127688,225,09,013,Xochimilco,09013,64282,77414,88474,85709,77414,91238,88387,91238,79834,88387,91238,60480,984096
MIRADOR #2,260,494205,2127862,226,09,013,Xochimilco,09013,104458,94349,107827,104458,94349,107827,104458,107827,94349,104458,107827,94349,1226534
MIRADOR #3,261,494228,2127235,227,09,013,Xochimilco,09013,74995,67738,77414,74995,67738,77414,74995,77414,67738,74995,77414,67738,880589
MONTE SUR #1 ,262,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,61603,48384,63590,66960,62899,71885,66960,69120,62899,69638,69120,62899,775958
MONTE SUR #2 ,263,487741,2125198,232,09,013,Xochimilco,09013,45533,41126,52531,50890,41126,47002,50890,52531,45965,50890,49766,43546,571795
NATIVITAS #1 ,264,489958,2127340,237,09,013,Xochimilco,09013,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0
NATIVITAS #2 ,265,490330,2126433,238,09,013,Xochimilco,09013,166061,142733,165888,152669,147571,174182,149990,171418,149990,160704,160358,147571,1889136
NATIVITAS #3 ,266,490458,2126770,239,09,013,Xochimilco,09013,104458,84672,113357,120528,113702,138240,109814,138240,118541,131242,135475,123379,1431648
NORIA #1,267,486562,2130782,240,09,013,Xochimilco,09013,72317,70157,82944,77674,74995,80179,74995,60826,58061,83030,77414,55642,868234
NORIA #2,268,487133,2129237,241,09,013,Xochimilco,09013,101779,99187,116122,107136,99187,107827,104458,107827,94349,104458,107827,101606,1251763
NORIA #3,269,487635,2129008,242,09,013,Xochimilco,09013,77674,70157,80179,77674,70157,80179,77674,80179,70157,77674,80179,70157,912038
NORIA #4,270,487975,2128974,243,09,013,Xochimilco,09013,214272,198374,229478,219629,200794,235008,230342,237773,210470,233021,223949,205632,2638742
NORIA #5,271,487231,2128266,244,09,013,Xochimilco,09013,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0
NORIA #6,272,488178,2127972,245,09,013,Xochimilco,09013,163382,147571,168653,136598,106445,121651,139277,132710,120960,117850,141005,94349,1590451
NORIA #7,273,489421,2127836,246,09,013,Xochimilco,09013,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,35942,74995,110938
SAN LUIS TLAXIALTEMALCO,274,496162,2128409,414,09,013,Xochimilco,09013,139277,118541,141005,139277,120960,124416,123206,127181,108864,125885,116122,104026,1488758
PANTEON SAN LUCAS XOCHIMANCA,275,488329,2126886,269,09,013,Xochimilco,09013,120528,108864,124416,74995,108864,124416,120528,110592,62899,120528,124416,106445,1307491
PERIFERICO #09 ,276,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,37498,26611,38707,40176,36288,35942,34819,35942,31450,34819,35942,31450,419645
PERIFERICO #8,277,483602,2132446,310,09,012,Tlalpan,09012,53568,89510,113357,115171,108864,124416,125885,129946,113702,123206,121651,104026,1323302
PISTA OLIMPICA #1,278,489138,2132973,314,09,013,Xochimilco,09013,131242,116122,143770,139277,125798,143770,139277,141005,125798,131242,124416,125798,1587514
PISTA OLIMPICA #2,279,487790,2131726,315,09,013,Xochimilco,09013,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0
RECLUSORIO SUR #1,280,487085,2126212,354,09,013,Xochimilco,09013,125885,113702,138240,131242,120960,138240,133920,135475,120960,133920,127181,116122,1535846
RECLUSORIO SUR #2,281,486650,2126527,355,09,013,Xochimilco,09013,80352,55642,85709,85709,84672,94003,88387,94003,67738,85709,80179,72576,974678
RESIDENCIAL SUR,282,486065,2131760,359,09,013,Xochimilco,09013,147312,152410,176947,168739,154829,141005,136598,141005,125798,139277,135475,120960,1740355
S-1,283,488882,2127217,366,09,013,Xochimilco,09013,128563,116122,132710,128563,116122,132710,128563,132710,116122,128563,132710,116122,1509581
S-2,284,487111,2126517,371,09,013,Xochimilco,09013,174096,154829,165888,174096,159667,182477,176774,182477,145152,174096,165888,145152,2000592
S-3,285,489958,2126538,372,09,013,Xochimilco,09013,83030,74995,85709,83030,74995,85709,83030,85709,74995,83030,85709,74995,974938
S-4,286,486666,2126212,373,09,013,Xochimilco,09013,45533,58061,74650,77674,74995,82944,80352,85709,74995,83030,85709,77414,901066
S-5,287,489992,2126177,374,09,013,Xochimilco,09013,109814,99187,113357,109814,99187,107827,104458,107827,94349,109814,113357,99187,1268179
S-6,288,490912,2126096,375,09,013,Xochimilco,09013,83030,74995,85709,139277,128218,146534,141955,146534,123379,136598,135475,130637,1472342
S-7,289,492891,2126808,376,09,013,Xochimilco,09013,131242,118541,135475,120528,120960,135475,141955,121651,116122,133920,141005,133056,1549930
S-8,290,488261,2127516,377,09,013,Xochimilco,09013,125885,111283,127181,88387,113702,127181,125885,129946,113702,125885,118886,99187,1407110
S-9,291,486026,2130803,378,09,013,Xochimilco,09013,131242,113702,135475,133920,118541,124416,88387,99533,89510,99101,102298,87091,1323216
S-10,292,485222,2130406,367,09,013,Xochimilco,09013,40176,24192,49766,42854,38707,38707,42854,44237,41126,45533,44237,38707,491098
S-11,293,496467,2128172,368,09,013,Xochimilco,09013,50890,45965,52531,50890,45965,60826,58925,60826,53222,58925,60826,53222,653011
SANTIAGO TEPALCATLALPAN ,294,487217,2127605,451,09,013,Xochimilco,09013,83030,77414,116122,104458,99187,121651,120528,124416,99187,120528,116122,104026,1286669
SAN GREGORIO ATL. #1,295,493006,2128467,383,09,013,Xochimilco,09013,50890,33869,55296,61603,60480,71885,69638,66355,60480,69638,71885,53222,725242
SAN GREGORIO ATL. #2,296,492890,2127862,384,09,013,Xochimilco,09013,61603,101606,116122,112493,101606,116122,112493,116122,101606,112493,116122,101606,1269994
SAN LUIS #1,297,497615,2129035,394,09,013,Xochimilco,09013,48211,45965,47002,56246,31450,30413,29462,35942,26611,32141,33178,38707,455328
SAN LUIS #2,298,497783,2129060,405,09,013,Xochimilco,09013,64282,55642,60826,131242,152410,171418,163382,165888,147571,163382,154829,147571,1578442
SAN LUIS #3,299,497036,2129582,407,09,013,Xochimilco,09013,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0
SAN LUIS #4,300,497202,2129606,408,09,013,Xochimilco,09013,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0
SAN LUIS #5,301,497315,2129600,409,09,013,Xochimilco,09013,77674,60480,80179,83030,77414,88474,91066,94003,82253,91066,94003,48384,968026
SAN LUIS #6,302,497439,2129597,410,09,013,Xochimilco,09013,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0
SAN LUIS #7,303,496647,2129289,411,09,013,Xochimilco,09013,107136,96768,121651,125885,118541,149299,144634,138240,106445,123206,135475,123379,1490659
SAN LUIS #8,304,496435,2128999,412,09,013,Xochimilco,09013,88387,79834,91238,88387,79834,19354,40176,91238,79834,69638,FE,FE,727920
SAN LUIS #9,305,496048,2129025,413,09,013,Xochimilco,09013,120528,99187,121651,117850,104026,121651,117850,118886,106445,93744,35942,101606,1259366
SAN LUIS #10,306,495713,2128981,395,09,013,Xochimilco,09013,32141,29030,33178,32141,29030,127181,123206,127181,111283,123206,127181,108864,1003622
SAN LUIS #11,307,495413,2128559,396,09,013,Xochimilco,09013,257126,232243,265421,251770,222566,265421,259805,259891,232243,230342,240538,215309,2932675
SAN LUIS #12,308,495360,2128726,397,09,013,Xochimilco,09013,195523,176602,201830,195523,176602,201830,195523,201830,176602,195523,201830,176602,2295821
SAN LUIS #13,309,494961,2128603,398,09,013,Xochimilco,09013,91066,89510,105062,109814,96768,105062,112493,96768,84672,109814,107827,87091,1195949
SAN LUIS #14,310,493710,2128823,399,09,013,Xochimilco,09013,93744,77414,99533,93744,72576,82944,93744,91238,87091,93744,82944,72576,1041293
SAN LUIS #16,311,492704,2128176,401,09,013,Xochimilco,09013,112493,101606,110592,120528,74995,110592,123206,132710,106445,115171,129946,116122,1354406
SAN LUIS #17,312,492917,2128568,402,09,013,Xochimilco,09013,42854,31450,44237,40176,36288,47002,45533,47002,41126,45533,47002,FE,468202
SAN LUIS #18,313,492829,2128339,403,09,013,Xochimilco,09013,233021,210470,240538,230342,203213,240538,238378,237773,215309,238378,223949,193536,2705443
SAN LUIS #19,314,491807,2127960,404,09,013,Xochimilco,09013,74995,53222,80179,74995,67738,80179,77674,77414,70157,77674,71885,58061,864173
SAN LUIS #20,315,490706,2127793,406,09,013,Xochimilco,09013,50890,45965,52531,50890,45965,52531,50890,52531,45965,50890,52531,31450,583027
SAN LORENZO ATEMOAYA #1,316,489528,2127154,390,09,013,Xochimilco,09013,42854,41126,52531,53568,50803,60826,58925,60826,53222,64282,66355,55642,660960
SAN LORENZO ATEMOAYA #2,317,489441,2127276,391,09,013,Xochimilco,09013,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0
SANTA CRUZ ACALPIXCA #1,318,492715,2127316,440,09,013,Xochimilco,09013,8035,82253,69120,96422,104026,118886,115171,107827,106445,107136,110592,96768,1122682
SANTA CRUZ ACALPIXCA #2,319,492727,2127595,441,09,013,Xochimilco,09013,182131,87091,149299,155347,149990,176947,45533,35942,55642,112493,149299,96768,1396483
SANTA CRUZ XOCHITEPEC,320,486440,2128685,444,09,013,Xochimilco,09013,176774,154829,185242,179453,159667,188006,179453,188006,152410,182131,168653,159667,2074291
SANTA CATARINA #3,321,499488,2133877,431,09,011,Tl?íhuac,09011,,,,,RE,RE,,,,RE,,,0
TEPEPAN #1,322,484817,2130992,485,09,012,Tlalpan,09012,66960,53222,74650,64282,67738,74650,74995,77414,67738,74995,80179,72576,849398
TEPEPAN #2,323,484526,2130414,486,09,012,Tlalpan,09012,74995,65318,77414,74995,67738,77414,69638,66355,67738,74995,69120,65318,851040
TEPEPAN #3,324,485444,2131291,487,09,013,Xochimilco,09013,101779,82253,22118,139277,133056,157594,144634,146534,130637,149990,141005,130637,1479514
CERRILLOS #1,325,497979,2128002,105,09,013,Xochimilco,09013,58925,82253,94003,85709,82253,77414,77674,49766,70157,77674,80179,70157,906163
CERRILLOS #2,326,498560,2127688,106,09,011,Tl?íhuac,09011,45533,41126,47002,45533,41126,44237,42854,44237,38707,42854,44237,36288,513734
CERRILLOS #3,327,498585,2127177,107,09,011,Tl?íhuac,09011,91066,82253,94003,85709,82253,91238,91066,94003,82253,91066,94003,82253,1061165
ESCUDO NACIONAL #1,328,499305,2127979,153,09,011,Tl?íhuac,09011,96422,87091,99533,85709,FS,FS,FS,FS,FS,FS,FS,FS,368755
ESCUDO NACIONAL #2,329,499028,2127046,154,09,011,Tl?íhuac,09011,34819,31450,35942,34819,31450,35942,34819,35942,31450,34819,35942,31450,408845
R-11,330,499184,2127397,335,09,011,Tl?íhuac,09011,69638,53222,63590,69638,62899,69120,66960,69120,60480,66960,69120,60480,781229
R-18,331,500141,2123254,336,09,009,Milpa Alta,09009,85709,77414,88474,85709,77414,22118,21427,22118,19354,21427,22118,19354,562637
R-19,332,498387,2122183,337,09,009,Milpa Alta,09009,10714,9677,11059,10714,9677,16589,16070,16589,14515,16070,16589,14515,162778
R-21,333,498543,2122563,339,09,009,Milpa Alta,09009,61603,55642,63590,53568,48384,105062,101779,105062,91930,101779,105062,91930,985392
R-22,334,500132,2122660,340,09,009,Milpa Alta,09009,101779,91930,105062,101779,91930,71885,69638,71885,62899,69638,71885,62899,973210
R-24,335,499460,2123283,341,09,009,Milpa Alta,09009,53568,48384,55296,53568,48384,82944,80352,82944,72576,80352,82944,72576,813888
R-25,336,498704,2122951,342,09,009,Milpa Alta,09009,58925,67738,82944,69638,72576,85709,88387,91238,79834,85709,91238,79834,953770
R-26,337,500353,2122335,343,09,009,Milpa Alta,09009,91066,82253,94003,80352,21773,71885,80352,82944,72576,80352,82944,72576,913075
R-28,338,500633,2123093,345,09,009,Milpa Alta,09009,141955,120960,146534,139277,128218,99533,123206,127181,108864,123206,127181,111283,1497398
S-12,339,498012,2128664,369,09,013,Xochimilco,09013,120528,94349,124416,120528,55642,82944,115171,118886,104026,115171,118886,108864,1279411
S-13,340,498497,2128189,370,09,013,Xochimilco,09013,24106,21773,24883,24106,21773,24883,21427,22118,19354,21427,22118,FE,247968
SAN JUAN TEPENAHUAC,341,500689,2121549,387,09,009,Milpa Alta,09009,158026,135475,163123,155347,142733,160358,158026,163123,140314,158026,163123,140314,1837987
SAN PEDRO ATOCPAN ,342,494862,2124268,419,09,009,Milpa Alta,09009,72317,65318,74650,72317,65318,74650,72317,74650,65318,72317,74650,65318,849139
SANTA CATARINA #2 ,343,500085,2133845,430,09,011,Tl?íhuac,09011,DC,DC,DC,DC,DC,DC,DC,DC,DC,DC,DC,DC,0
SANTA CATARINA #3 ,344,499488,2133877,431,09,011,Tl?íhuac,09011,DC,DC,DC,DC,DC, , , , , , , ,0
SANTA CATARINA #5 ,345,497411,2134398,433,09,011,Tl?íhuac,09011,DC,DC,DC,DC,DC,DC,DC,DC,DC,DC,DC,DC,0
SANTA CATARINA #6 ,346,495695,2134617,434,09,011,Tl?íhuac,09011,50890,45965,41472,109814,99187,113357,85709,113357,99187,109814,113357,99187,1081296
SANTA CATARINA #7 ,347,494188,2134405,435,09,011,Tl?íhuac,09011,50890,45965,41472,40176,36288,41472,40176,41472,36288,40176,41472,36288,492134
TECOMITL #10,348,501476,2124659,464,09,009,Milpa Alta,09009,93744,84672,99533,91066,87091,113357,112493,113357,101606,112493,116122,94349,1219882
TECOMITL #11,349,501597,2124497,465,09,009,Milpa Alta,09009,141955,128218,146534,141955,128218,146534,141955,146534,128218,141955,146534,123379,1661990
TECOMITL #12,350,502121,2124423,466,09,009,Milpa Alta,09009,187488,169344,193536,182131,171763,185242,72317,47002,116122,179453,188006,162086,1854490
TECOMITL #13,351,501779,2124406,467,09,009,Milpa Alta,09009,133920,137894,157594,147312,140314,165888,163382,165888,147571,160704,168653,140314,1829434
TECOMITL #14,352,502113,2124639,468,09,009,Milpa Alta,09009,133920,120960,141005,131242,123379,146534,144634,146534,130637,144634,141005,130637,1635120
TECOMITL #15,353,502326,2124457,469,09,009,Milpa Alta,09009,174096,157248,179712,168739,159667,174182,144634,174182,154829,168739,176947,154829,1987805
TECOMITL #17,354,502892,2124315,471,09,009,Milpa Alta,09009,101779,91930,107827,99101,94349,110592,109814,110592,99187,109814,113357,104026,1252368
TECOMITL #21,355,503900,2123602,476,15,025,Chalco,15025,152669,137894,157594,152669,137894,118886,115171,118886,104026,115171,118886,125798,1555546
