X,Y,ELEV,TYPE,
515474,2157105,2280,1,
515003,2157283,2279,1,
514366,2157279,2264,1,
512959,2156756,2249,1,
512761,2156276,2247,1,
512254,2156195,2245,1,
511776,2156366,2244,1,
510229,2156794,2239,1,
509596,2156645,2238,1,
509040,2156610,2238,1,
508439,2156560,2236,1,
507669,2156724,2234,1,
507180,2156829,2234,1,
506353,2156731,2234,1,
505885,2156551,2234,1,
505366,2156349,2234,1,
505096,2155925,2234,1,
505045,2155427,2234,1,
504564,2155175,2234,1,
504041,2154994,2234,1,
503197,2154700,2230,1,
502694,2154580,2230,1,
502157,2154592,2228,1,
501559,2154608,2228,1,
500979,2154616,2228,1,
500412,2154623,2228,1,
499912,2154633,2228,1,
499412,2154644,2228,1,
498912,2154654,2228,1,
498466,2154508,2228,1,
508621,2170658,2250,1,
508573,2170116,2249,1,
508491,2169617,2249,1,
508434,2169109,2249,1,
508204,2168656,2250,1,
508033,2167986,2248,1,
507909,2167430,2245,1,
507710,2166591,2244,1,
507526,2165855,2242,1,
507057,2165355,2239,1,
506495,2164758,2238,1,
506095,2164340,2239,1,
505854,2163734,2240,1,
505647,2163151,2236,1,
505472,2162672,2239,1,
505095,2162337,2241,1,
504661,2161999,2241,1,
504353,2161363,2236,1,
503907,2160728,2241,1,
503583,2160348,2241,1,
503358,2160084,2240,1,
505577,2160761,2238,1,
505443,2161377,2245,1,
505580,2161858,2245,1,
505757,2162482,2241,1,
506253,2163030,2238,1,
506590,2163404,2239,1,
507018,2163691,2239,1,
508295,2171471,2252,1,
508078,2171009,2252,1,
508039,2170510,2252,1,
508128,2169924,2250,1,
508436,2169558,2249,1,
498688,2162098,2230,1,
499372,2162086,2234,1,
500005,2162072,2235,1,
500567,2162222,2236,1,
501033,2162475,2236,1,
501603,2161947,2237,1,
502028,2161517,2235,1,
502485,2161054,2238,1,
502887,2160626,2239,1,
503227,2160256,2239,1,
503356,2159769,2240,1,
502966,2159209,2240,1,
503290,2158767,2240,1,
503346,2158674,2239,1,
503401,2160134,2240,1,
503393,2159184,2239,1,
503346,2158674,2239,1,
503356,2158115,2235,1,
503339,2157509,2234,1,
503563,2156910,2236,1,
504382,2156674,2236,1,
504911,2156647,2236,1,
505125,2156737,2235,1,
503853,2154899,2233,1,
503561,2155686,2234,1,
503390,2156192,2234,1,
503711,2156740,2236,1,
506957,2151088,2239,1,
507530,2150994,2239,1,
508166,2150769,2239,1,
508660,2150591,2239,1,
509143,2150433,2240,1,
509445,2150018,2242,1,
509947,2150033,2245,1,
510451,2150031,2249,1,
510964,2149958,2255,1,
511467,2149904,2260,1,
511981,2149832,2264,1,
512474,2149956,2272,1,
512989,2150071,2278,1,
513210,2150144,2279,1,
507189,2150724,2235,1,
506639,2150691,2236,1,
505608,2150703,2240,1,
505099,2150667,2241,1,
503043,2150484,2241,1,
502562,2150264,2240,1,
501398,2148593,2240,1,
500917,2148303,2239,1,
500683,2148239,2240,1,
498351,2163708,2233,1,
498677,2163305,2232,1,
498701,2162748,2231,1,
498688,2162098,2230,1,
477198,2155561,2260,1,
477560,2156023,2260,1,
477556,2156624,2260,1,
495080,2149827,2228,1,
495132,2149863,2228,1,
465595,2144824,2556,2,
466133,2144853,2513,2,
466643,2144825,2486,2,
467179,2144862,2473,2,
467656,2145039,2460,2,
467966,2145454,2457,2,
468449,2145816,2438,2,
468813,2145994,2432,2,
514250,2117081,2396,2,
513778,2116834,2411,2,
513704,2116583,2416,2,
514503,2144691,2307,2,
515003,2144574,2325,2,
515487,2144444,2339,2,
515978,2144579,2364,2,
516438,2144791,2385,2,
516903,2144977,2404,2,
517302,2145310,2442,2,
517422,2145463,2466,2,
522609,2134026,2605,2,
522130,2133867,2544,2,
521717,2133559,2519,2,
521359,2133165,2492,2,
520955,2132870,2456,2,
520510,2132621,2415,2,
520000,2132499,2373,2,
519561,2132229,2348,2,
519154,2131924,2327,2,
518674,2131747,2306,2,
518172,2131739,2290,2,
516366,2130924,2253,2,
515861,2130767,2251,2,
515385,2131033,2249,2,
514971,2131342,2246,2,
514491,2131535,2244,2,
513994,2131668,2242,2,
513943,2131672,2241,2,
516315,2136062,2279,2,
516823,2136068,2287,2,
517337,2136071,2299,2,
517719,2135739,2302,2,
518179,2135967,2322,2,
518712,2135997,2340,2,
519220,2136134,2358,2,
519726,2136292,2383,2,
520245,2136242,2416,2,
520755,2136124,2453,2,
521234,2136317,2480,2,
521730,2136621,2519,2,
522260,2136823,2567,2,
522780,2136831,2613,2,
521896,2139369,2613,2,
521419,2139119,2580,2,
520890,2139056,2553,2,
520410,2139317,2519,2,
519877,2139317,2493,2,
519367,2139216,2468,2,
518821,2139216,2439,2,
518319,2139340,2416,2,
517845,2139178,2394,2,
517366,2138920,2372,2,
516848,2138987,2347,2,
516460,2139345,2335,2,
520349,2144464,2583,2,
519836,2144679,2546,2,
519331,2144807,2504,2,
518798,2144670,2478,2,
518239,2144569,2453,2,
517750,2144423,2428,2,
517313,2144172,2409,2,
516806,2144237,2394,2,
516282,2144149,2370,2,
515773,2144157,2353,2,
515278,2144351,2334,2,
514788,2144514,2319,2,
514340,2144797,2304,2,
513826,2144804,2294,2,
513357,2144987,2284,2,
512900,2145196,2279,2,
512447,2145362,2269,2,
521445,2141656,2621,2,
521053,2141328,2590,2,
520485,2141243,2556,2,
519940,2141301,2519,2,
519428,2141288,2494,2,
518958,2141018,2460,2,
518556,2140705,2438,2,
518160,2140356,2404,2,
517681,2140097,2379,2,
517334,2139710,2359,2,
516864,2139463,2339,2,
514467,2138788,2280,2,
514305,2138311,2272,2,
514254,2138269,2271,2,
515639,2133964,2280,2,
516148,2134103,2297,2,
516630,2134259,2309,2,
517132,2134438,2319,2,
517581,2134694,2337,2,
518078,2134813,2348,2,
518556,2135073,2370,2,
518957,2135379,2389,2,
519462,2135485,2417,2,
519963,2135520,2455,2,
520512,2135579,2480,2,
521055,2135587,2509,2,
521568,2135726,2532,2,
522093,2135776,2572,2,
522601,2135815,2615,2,
518360,2126413,2275,2,
518791,2126103,2278,2,
519144,2125737,2284,2,
519543,2125416,2291,2,
519857,2125020,2298,2,
520325,2124783,2312,2,
520843,2124831,2319,2,
521258,2125158,2338,2,
521749,2125283,2349,2,
522274,2125369,2379,2,
522805,2125507,2422,2,
523288,2125667,2431,2,
523753,2125867,2458,2,
524259,2125989,2481,2,
524736,2126260,2523,2,
525233,2126367,2558,2,
525794,2126494,2617,2,
521729,2125271,2353,2,
522074,2125671,2389,2,
522528,2125926,2423,2,
523079,2126102,2460,2,
523553,2126475,2503,2,
524035,2126757,2545,2,
524642,2126951,2605,2,
524579,2130996,2603,2,
524086,2130862,2574,2,
523576,2130988,2532,2,
523077,2131074,2510,2,
522575,2130998,2478,2,
522072,2130970,2453,2,
521538,2130964,2421,2,
521005,2130982,2400,2,
520485,2131082,2368,2,
514254,2138269,2271,2,
514219,2138772,2280,2,
514216,2139276,2281,2,
514328,2139777,2288,2,
514499,2140264,2298,2,
514692,2140749,2305,2,
515147,2140982,2325,2,
515497,2141357,2352,2,
515933,2141611,2372,2,
516416,2141783,2398,2,
516822,2142094,2421,2,
517273,2142358,2448,2,
517784,2142483,2472,2,
518196,2142775,2500,2,
518675,2142963,2531,2,
519172,2143192,2559,2,
519677,2143296,2586,2,
520181,2143395,2619,2,
517619,2130139,2258,2,
518130,2130117,2260,2,
518619,2130002,2276,2,
519110,2130106,2293,2,
519583,2130279,2314,2,
520051,2130462,2339,2,
520560,2130369,2362,2,
521069,2130375,2402,2,
521561,2130498,2442,2,
522084,2130575,2489,2,
513885,2147948,2312,2,
514356,2147776,2319,2,
514752,2147457,2333,2,
515169,2147154,2344,2,
515682,2147108,2359,2,
516143,2146897,2374,2,
516651,2146914,2392,2,
517115,2147113,2418,2,
517641,2147123,2444,2,
518128,2146899,2500,2,
518541,2146490,2527,2,
