DATASET,X,Y,FLOW_M3-S,START_YR,END_YR,ID,S_PER,E_PER,S_DAY,E_DAY,FLOW_M3D,CVE_ENT,CVE_MUN,NOM_MUN,CODE,UrbanClay,Urban
REPDA-EDO,475914.527,2151722.727,-0.002171804,2005,2014,4737,253,361,7665,10950,-187.6438356,15,57,Naucalpan de Ju?írez,15057,1,1980
REPDA-EDO,477081.1807,2152059.303,-0.001187215,2005,2014,4738,253,361,7665,10950,-102.5753425,15,57,Naucalpan de Ju?írez,15057,1,1980
REPDA-EDO,477081.2197,2152090.039,-0.001643836,2005,2014,4739,253,361,7665,10950,-142.0273973,15,57,Naucalpan de Ju?írez,15057,1,1980
REPDA-EDO,472731.0171,2155778.241,-0.001461187,2005,2014,4740,253,361,7665,10950,-126.2465753,15,57,Naucalpan de Ju?írez,15057,0,1993
REPDA-EDO,472563.5865,2153018.409,-0.001582953,2005,2014,4741,253,361,7665,10950,-136.7671233,15,57,Naucalpan de Ju?írez,15057,0,1993
REPDA-EDO,476215.0873,2154132.015,-0.003963724,2005,2014,4742,253,361,7665,10950,-342.4657534,15,57,Naucalpan de Ju?írez,15057,1,1970
REPDA-EDO,476412.5001,2153504.746,-0.003150685,2005,2014,4743,253,361,7665,10950,-272.2191781,15,57,Naucalpan de Ju?írez,15057,1,1970
REPDA-EDO,476441.6929,2153535.443,-0.007239726,2005,2014,4744,253,361,7665,10950,-625.5123288,15,57,Naucalpan de Ju?írez,15057,1,1970
REPDA-EDO,477052.7282,2152612.583,-0.033401826,2005,2014,4745,253,361,7665,10950,-2885.917808,15,57,Naucalpan de Ju?írez,15057,1,1980
REPDA-EDO,477139.763,2152274.379,-1.27E-03,2005,2014,4746,253,361,7665,10950,-109.5890411,15,57,Naucalpan de Ju?írez,15057,1,1980
REPDA-EDO,476820.1652,2153135.388,-0.001426941,2005,2014,4747,253,361,7665,10950,-123.2876712,15,57,Naucalpan de Ju?írez,15057,1,1980
REPDA-EDO,476764.845,2153190.784,-0.000792745,2005,2014,4748,253,361,7665,10950,-68.49315068,15,57,Naucalpan de Ju?írez,15057,1,1980
REPDA-EDO,476609.7756,2152760.683,-8.37E-05,2005,2014,4749,253,361,7665,10950,-7.235616438,15,57,Naucalpan de Ju?írez,15057,1,1980
REPDA-EDO,476609.7756,2152760.683,-8.37E-05,2005,2014,4750,253,361,7665,10950,-7.235616438,15,57,Naucalpan de Ju?írez,15057,1,1980
REPDA-EDO,476294.3162,2152306.204,-0.005707763,2005,2014,4751,253,361,7665,10950,-493.1506849,15,57,Naucalpan de Ju?írez,15057,1,1980
REPDA-EDO,477081.1028,2151997.832,-0.004255454,2005,2014,4752,253,361,7665,10950,-367.6712329,15,57,Naucalpan de Ju?írez,15057,1,1980
REPDA-EDO,477430.3508,2151505.621,-0.000101947,2005,2014,4753,253,361,7665,10950,-8.808219178,15,57,Naucalpan de Ju?írez,15057,1,1941
REPDA-EDO,476062.7079,2153535.942,-0.000146658,2005,2014,4754,253,361,7665,10950,-12.67123288,15,57,Naucalpan de Ju?írez,15057,1,1959
REPDA-EDO,474976.5304,2148097.185,-0.000951294,2005,2014,4755,253,361,7665,10950,-82.19178082,15,57,Naucalpan de Ju?írez,15057,1,1980
REPDA-EDO,469852.0426,2152869.052,-0.001319127,2005,2014,4756,253,361,7665,10950,-113.9726027,15,57,Naucalpan de Ju?írez,15057,0,Rural
REPDA-EDO,474314.332,2154091.589,-0.000665906,2005,2014,4757,253,361,7665,10950,-57.53424658,15,57,Naucalpan de Ju?írez,15057,1,1970
REPDA-EDO,476935.17,2151875.075,-0.005859779,2005,2014,4758,253,361,7665,10950,-506.2849315,15,57,Naucalpan de Ju?írez,15057,1,1941
REPDA-EDO,471165.44,2153788.985,-1.16E-03,2005,2014,4759,253,361,7665,10950,-100.3315068,15,57,Naucalpan de Ju?írez,15057,0,1993
REPDA-EDO,470367.6457,2165008.964,-9.42E-03,2005,2014,4760,253,361,7665,10950,-813.6986301,15,13,Atizap?ín de Zaragoza,15013,0,Rural
REPDA-EDO,476207.7831,2153013.241,-0.006341958,2005,2014,4761,253,361,7665,10950,-547.9452055,15,57,Naucalpan de Ju?írez,15057,1,1980
REPDA-EDO,476207.7871,2153016.315,-0.006341958,2005,2014,4762,253,361,7665,10950,-547.9452055,15,57,Naucalpan de Ju?írez,15057,1,1980
REPDA-EDO,477344.0387,2152427.801,-0.065,2005,2014,4763,253,361,7665,10950,-5616,15,57,Naucalpan de Ju?írez,15057,1,1980
REPDA-EDO,477460.5033,2152304.712,-0.007605277,2005,2014,4764,253,361,7665,10950,-657.0958904,15,57,Naucalpan de Ju?írez,15057,1,1980
REPDA-EDO,477373.1547,2152397.029,0,2005,2014,4765,253,361,7665,10950,0,15,57,Naucalpan de Ju?írez,15057,1,1980
REPDA-EDO,474248.5857,2148866.599,-0.000158549,2005,2014,4766,253,361,7665,10950,-13.69863014,15,57,Naucalpan de Ju?írez,15057,1,1959
REPDA-EDO,474394.1697,2148712.713,-0.001608447,2005,2014,4767,253,361,7665,10950,-138.969863,15,57,Naucalpan de Ju?írez,15057,1,1959
REPDA-EDO,476790.5775,2152797.333,-0.014356164,2005,2014,4768,253,361,7665,10950,-1240.372603,15,57,Naucalpan de Ju?írez,15057,1,1980
REPDA-EDO,476790.2616,2152551.447,-0.001545408,2005,2014,4769,253,361,7665,10950,-133.5232877,15,57,Naucalpan de Ju?írez,15057,1,1980
REPDA-EDO,476497.5197,2151629.752,-0.000158549,2005,2014,4770,253,361,7665,10950,-13.69863014,15,57,Naucalpan de Ju?írez,15057,1,1941
REPDA-EDO,475973.3286,2152091.478,-0.004223744,2005,2014,4771,253,361,7665,10950,-364.9315068,15,57,Naucalpan de Ju?írez,15057,1,1941
REPDA-EDO,476489.419,2145390.425,-0.001216419,2005,2014,4772,253,361,7665,10950,-105.0986301,9,16,Miguel Hidalgo,9016,1,1959
REPDA-EDO,475305.5782,2154151.678,-5.13E-05,2005,2014,4773,253,361,7665,10950,-4.435616438,15,57,Naucalpan de Ju?írez,15057,1,1959
REPDA-EDO,476413.8251,2154519.026,-0.000296201,2005,2014,4774,253,361,7665,10950,-25.59178082,15,57,Naucalpan de Ju?írez,15057,1,1970
REPDA-EDO,477285.4207,2152181.988,-0.00057994,2005,2014,4775,253,361,7665,10950,-50.10684932,15,57,Naucalpan de Ju?írez,15057,1,1980
REPDA-EDO,476642.9809,2151383.678,-0.011669203,2005,2014,4776,253,361,7665,10950,-1008.219178,15,57,Naucalpan de Ju?írez,15057,1,1980
REPDA-EDO,474082.6622,2155167.677,-0.000929795,2005,2014,4777,253,361,7665,10950,-80.33424658,15,57,Naucalpan de Ju?írez,15057,1,1980
REPDA-EDO,475155.3822,2150924.625,-0.00158549,2005,2014,4778,253,361,7665,10950,-136.9863014,15,57,Naucalpan de Ju?írez,15057,1,1980
REPDA-EDO,476382.0615,2152521.24,-0.004109589,2005,2014,4779,253,361,7665,10950,-355.0684932,15,57,Naucalpan de Ju?írez,15057,1,1980
