DATASET,X,Y,FLOW_M3-S,START_YR,END_YR,ID,S_PER,E_PER,S_DAY,E_DAY,Flow_m3,CVE_ENT,CVE_MUN,NOM_MUN,CODE
SACM,484822,2133935,1,1984,1985,305,-1,0,0,31,-6754,9,12,Tlalpan,9012
SACM,484272,2133665,1,1984,1985,306,-1,0,0,31,-2410,9,12,Tlalpan,9012
SACM,483200,2133848,1,1984,1985,307,-1,0,0,31,-2458,9,12,Tlalpan,9012
SACM,484192,2132586,1,1984,1985,308,-1,0,0,31,-2912,9,12,Tlalpan,9012
SACM,483602,2132446,1,1984,1985,309,-1,0,0,31,-2037,9,12,Tlalpan,9012
SACM,486233,2131345,1,1984,1985,311,-1,0,0,31,-4281,9,13,Xochimilco,9013
SACM,486333,2132216,1,1984,1985,294,-1,0,0,31,-2598,9,13,Xochimilco,9013
SACM,488634,2132855,1,1984,1985,295,-1,0,0,31,-1280,9,13,Xochimilco,9013
SACM,488153,2133115,1,1984,1985,296,-1,0,0,31,-2071,9,12,Tlalpan,9012
SACM,486343,2136134,1,1984,1985,297,-1,0,0,31,-5422,9,3,Coyoac?ín,9003
SACM,488083,2134134,1,1984,1985,298,-1,0,0,31,-4890,9,3,Coyoac?ín,9003
SACM,485969,2135229,1,1984,1985,299,-1,0,0,31,-2103,9,3,Coyoac?ín,9003
SACM,489444,2134015,1,1984,1985,300,-1,0,0,31,-10285,9,13,Xochimilco,9013
SACM,489484,2134564,1,1984,1985,301,-1,0,0,31,-2570,9,13,Xochimilco,9013
SACM,489804,2135343,1,1984,1985,302,-1,0,0,31,-2575,9,13,Xochimilco,9013
SACM,488874,2136877,1,1984,1985,303,-1,0,0,31,-5257,9,3,Coyoac?ín,9003
SACM,493646,2134643,1,1984,1985,436,-1,0,0,31,-9267,9,7,Iztapalapa,9007
SACM,492327,2134822,1,1984,1985,427,-1,0,0,31,-6717,9,7,Iztapalapa,9007
SACM,493246,2135738,1,1984,1985,428,-1,0,0,31,-2074,9,7,Iztapalapa,9007
SACM,492660,2136245,1,1984,1985,392,-1,0,0,31,-89,9,7,Iztapalapa,9007
SACM,481265,2133300,1,1984,1985,86,-1,0,0,31,-1258,9,12,Tlalpan,9012
SACM,481103,2138473,1,1984,1985,150,-1,0,0,31,-983,9,3,Coyoac?ín,9003
SACM,482401,2131586,1,1984,1985,151,-1,0,0,31,-3695,9,12,Tlalpan,9012
SACM,482632,2132332,1,1984,1985,162,-1,0,0,31,-345,9,12,Tlalpan,9012
SACM,480912,2132969,1,1984,1985,172,-1,0,0,31,-2826,9,12,Tlalpan,9012
SACM,483430,2130663,1,1984,1985,333,-1,0,0,31,-4568,9,12,Tlalpan,9012
SACM,483177,2130602,1,1984,1985,338,-1,0,0,31,-5106,9,12,Tlalpan,9012
SACM,483552,2130452,1,1984,1985,346,-1,0,0,31,-1730,9,12,Tlalpan,9012
SACM,483815,2130811,1,1984,1985,347,-1,0,0,31,-4340,9,12,Tlalpan,9012
SACM,484339,2131154,1,1984,1985,348,-1,0,0,31,-2712,9,12,Tlalpan,9012
SACM,485210,2132061,1,1984,1985,349,-1,0,0,31,-2595,9,13,Xochimilco,9013
SACM,484935,2131404,1,1984,1985,350,-1,0,0,31,-1302,9,12,Tlalpan,9012
SACM,484129,2130853,1,1984,1985,352,-1,0,0,31,-3398,9,12,Tlalpan,9012
SACM,483792,2130536,1,1984,1985,334,-1,0,0,31,-4425,9,12,Tlalpan,9012
SACM,481638,2133393,1,1984,1985,381,-1,0,0,31,-6307,9,12,Tlalpan,9012
SACM,483072,2129627,1,1984,1985,420,-1,0,0,31,-2315,9,12,Tlalpan,9012
SACM,480995,2131462,1,1984,1985,450,-1,0,0,31,-582,9,12,Tlalpan,9012
