DATASET,X,Y,FLOW_M3-S,START_YR,END_YR,ID,S_PER,E_PER,S_DAY,E_DAY,FLOW_M3D,CVE_ENT,CVE_MUN,NOM_MUN,CODE
SACM,490429.0000000000,2140629.0000000000,-0.03809090909090900000,2005,2006,248,253,265,7665,8030,-3291.0545454545,09,007,Iztapalapa,09007
SACM,489524.0000000000,2140324.0000000000,-0.05358333333333330000,2005,2006,249,253,265,7665,8030,-4629.6000000000,09,007,Iztapalapa,09007
SACM,479963.0000000000,2138791.0000000000,-0.04716666666666660000,2005,2006,250,253,265,7665,8030,-4075.2000000000,09,010,?ülvaro Obreg??n,09010
SACM,479233.0000000000,2137630.0000000000,-0.00260000000000000000,2005,2006,251,253,265,7665,8030,-224.6400000000,09,010,?ülvaro Obreg??n,09010
SACM,477965.0000000000,2135930.0000000000,-0.02030000000000000000,2005,2006,252,253,265,7665,8030,-1753.9200000000,09,010,?ülvaro Obreg??n,09010
SACM,477155.0000000000,2135188.0000000000,-0.03341666666666660000,2005,2006,253,253,265,7665,8030,-2887.2000000000,09,010,?ülvaro Obreg??n,09010
SACM,480823.0000000000,2144109.0000000000,-0.02483333333333330000,2005,2006,254,253,265,7665,8030,-2145.6000000000,09,014,Benito Ju?írez,09014
SACM,480797.0000000000,2141915.0000000000,-0.05625000000000000000,2005,2006,255,253,265,7665,8030,-4860.0000000000,09,014,Benito Ju?írez,09014
SACM,483898.0000000000,2137741.0000000000,-0.02766666666666660000,2005,2006,256,253,265,7665,8030,-2390.4000000000,09,003,Coyoac?ín,09003
SACM,478785.0000000000,2149904.0000000000,-0.04558333333333330000,2005,2006,257,253,265,7665,8030,-3938.4000000000,09,016,Miguel Hidalgo,09016
SACM,478689.0000000000,2150496.0000000000,-0.03866666666666660000,2005,2006,258,253,265,7665,8030,-3340.8000000000,09,016,Miguel Hidalgo,09016
SACM,476811.0000000000,2147687.0000000000,-0.03483333333333330000,2005,2006,259,253,265,7665,8030,-3009.6000000000,09,016,Miguel Hidalgo,09016
SACM,476811.0000000000,2147687.0000000000,-0.03483333333333330000,2005,2006,260,253,265,7665,8030,-3009.6000000000,09,016,Miguel Hidalgo,09016
SACM,481481.0000000000,2149520.0000000000,-0.02536363636363630000,2005,2006,261,253,265,7665,8030,-2191.4181818182,09,016,Miguel Hidalgo,09016
SACM,480760.0000000000,2150404.0000000000,-0.02675000000000000000,2005,2006,262,253,265,7665,8030,-2311.2000000000,09,016,Miguel Hidalgo,09016
SACM,480221.0000000000,2151033.0000000000,-0.02724999999999990000,2005,2006,263,253,265,7665,8030,-2354.4000000000,09,016,Miguel Hidalgo,09016
SACM,480664.0000000000,2144482.0000000000,-0.02950000000000000000,2005,2006,264,253,265,7665,8030,-2548.8000000000,09,014,Benito Ju?írez,09014
SACM,486679.0000000000,2133212.0000000000,-0.03391666666666660000,2005,2006,265,253,265,7665,8030,-2930.4000000000,09,012,Tlalpan,09012
SACM,487734.0000000000,2132727.0000000000,-0.05049999999999990000,2005,2006,266,253,265,7665,8030,-4363.2000000000,09,013,Xochimilco,09013
SACM,485550.0000000000,2142726.0000000000,-0.02241666666666660000,2005,2006,267,253,265,7665,8030,-1936.8000000000,09,014,Benito Ju?írez,09014
SACM,482283.0000000000,2154851.0000000000,-0.05941666666666660000,2005,2006,268,253,265,7665,8030,-5133.6000000000,09,002,Azcapotzalco,09002
SACM,482419.0000000000,2154039.0000000000,-0.04241666666666660000,2005,2006,269,253,265,7665,8030,-3664.8000000000,09,002,Azcapotzalco,09002
SACM,482304.0000000000,2153389.0000000000,-0.03572727272727270000,2005,2006,270,253,265,7665,8030,-3086.8363636364,09,002,Azcapotzalco,09002
SACM,492110.0000000000,2138566.0000000000,-0.06091666666666660000,2005,2006,271,253,265,7665,8030,-5263.2000000000,09,007,Iztapalapa,09007
SACM,492185.0000000000,2138296.0000000000,-0.04744444444444440000,2005,2006,272,253,265,7665,8030,-4099.2000000000,09,007,Iztapalapa,09007
SACM,483060.0000000000,2143897.0000000000,-0.03499999999999990000,2005,2006,273,253,265,7665,8030,-3024.0000000000,09,014,Benito Ju?írez,09014
SACM,496929.0000000000,2143163.0000000000,-0.07040000000000000000,2005,2006,274,253,265,7665,8030,-6082.5600000000,09,007,Iztapalapa,09007
SACM,497573.0000000000,2142887.0000000000,-0.05375000000000000000,2005,2006,275,253,265,7665,8030,-4644.0000000000,09,007,Iztapalapa,09007
SACM,485811.0000000000,2136521.0000000000,-0.06275000000000000000,2005,2006,276,253,265,7665,8030,-5421.6000000000,09,003,Coyoac?ín,09003
SACM,497336.0000000000,2141954.0000000000,-0.04166666666666660000,2005,2006,277,253,265,7665,8030,-3600.0000000000,09,007,Iztapalapa,09007
SACM,496897.0000000000,2141745.0000000000,-0.04599999999999990000,2005,2006,278,253,265,7665,8030,-3974.4000000000,09,007,Iztapalapa,09007
SACM,496437.0000000000,2142004.0000000000,-0.04608333333333330000,2005,2006,279,253,265,7665,8030,-3981.6000000000,09,007,Iztapalapa,09007
SACM,496509.0000000000,2142463.0000000000,-0.03050000000000000000,2005,2006,280,253,265,7665,8030,-2635.2000000000,09,007,Iztapalapa,09007
SACM,477073.0000000000,2150067.0000000000,-0.02416666666666660000,2005,2006,281,253,265,7665,8030,-2088.0000000000,09,016,Miguel Hidalgo,09016
SACM,489138.0000000000,2132973.0000000000,-0.00966666666666666000,2005,2006,282,253,265,7665,8030,-835.2000000000,09,013,Xochimilco,09013
SACM,484686.0000000000,2140946.0000000000,-0.03741666666666660000,2005,2006,283,253,265,7665,8030,-3232.8000000000,09,014,Benito Ju?írez,09014
SACM,479631.0000000000,2143506.0000000000,-0.02325000000000000000,2005,2006,284,253,265,7665,8030,-2008.8000000000,09,010,?ülvaro Obreg??n,09010
SACM,492326.0000000000,2140858.0000000000,-0.04266666666666660000,2005,2006,285,253,265,7665,8030,-3686.4000000000,09,007,Iztapalapa,09007
SACM,492326.0000000000,2140858.0000000000,-0.04466666666666660000,2005,2006,286,253,265,7665,8030,-3859.2000000000,09,007,Iztapalapa,09007
