DATASET,X,Y,FLOW_M3-S,START_YR,END_YR,ID,S_PER,E_PER,S_DAY,E_DAY,FLOW_M3D,CVE_ENT,CVE_MUN,NOM_MUN,CODE,UrbanClay
REDPDA-EDO,510466.6,2146915,-0.03195,2005,2014,4497,253,361,7665,10950,-2760.126,15,29,Chicoloapan,15029,1
REDPDA-EDO,509358.8,2146085,-0.01408,2005,2014,4498,253,361,7665,10950,-1216.567,15,29,Chicoloapan,15029,0
REDPDA-EDO,508571.2,2146392,-0.02932,2005,2014,4499,253,361,7665,10950,-2533.362,15,29,Chicoloapan,15029,1
REDPDA-EDO,507550.9,2145315,-0.06069,2005,2014,4500,253,361,7665,10950,-5243.707,15,29,Chicoloapan,15029,1
REDPDA-EDO,509154.7,2145931,-0.03251,2005,2014,4501,253,361,7665,10950,-2808.701,15,29,Chicoloapan,15029,0
REDPDA-EDO,509504.2,2146914,-0.01667,2005,2014,4502,253,361,7665,10950,-1440.066,15,29,Chicoloapan,15029,0
REDPDA-EDO,511196.2,2146116,-0.00057,2005,2014,4503,253,361,7665,10950,-49.315,15,29,Chicoloapan,15029,0
REDPDA-EDO,509008.1,2147498,-0.00750,2005,2014,4504,253,361,7665,10950,-648.000,15,29,Chicoloapan,15029,0
REDPDA-EDO,508891.7,2146945,-0.00001,2005,2014,4505,253,361,7665,10950,-0.822,15,29,Chicoloapan,15029,0
REDPDA-EDO,508191.7,2147221,-0.00007,2005,2014,4506,253,361,7665,10950,-6.000,15,29,Chicoloapan,15029,0
REDPDA-EDO,508571.0,2146883,-0.00038,2005,2014,4507,253,361,7665,10950,-32.877,15,29,Chicoloapan,15029,1
REDPDA-EDO,510116.6,2146884,-0.00381,2005,2014,4508,253,361,7665,10950,-328.767,15,29,Chicoloapan,15029,1
REDPDA-EDO,512595.2,2147316,-0.00016,2005,2014,4509,253,361,7665,10950,-14.203,15,29,Chicoloapan,15029,0
REDPDA-EDO,512857.8,2147101,-0.03222,2005,2014,4510,253,361,7665,10950,-2783.737,15,29,Chicoloapan,15029,0
REDPDA-EDO,512769.8,2147900,-0.01438,2005,2014,4511,253,361,7665,10950,-1242.740,15,29,Chicoloapan,15029,0
REDPDA-EDO,513090.3,2148238,-0.05753,2005,2014,4512,253,361,7665,10950,-4970.959,15,29,Chicoloapan,15029,0
REDPDA-EDO,512711.8,2147377,-0.03452,2005,2014,4513,253,361,7665,10950,-2982.575,15,29,Chicoloapan,15029,0
